Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,82.18,82.379997,81.639999,81.68,78.57605,1558100
2014-10-23,82.480003,82.839996,81.339996,81.580002,78.479843,1288000
2014-10-24,81.5,82.410004,81.339996,82.379997,79.249443,852900
2014-10-27,82.449997,82.839996,82.110001,82.480003,79.345665,818200
2014-10-28,82.919998,83.5,82.739998,83.489998,80.317276,971200
2014-10-29,83.900002,83.900002,82.459999,82.849998,79.701576,1368100
2014-10-30,82.559998,83.779999,82.360001,83.089996,80.174393,1780000
2014-10-31,83.529999,86.059998,83.529999,86.0,82.982277,2073100
2014-11-03,86.190002,87.32,85.879997,87.18,84.12088,1470900
2014-11-04,87.260002,88.529999,86.800003,88.449997,85.346313,1575200
2014-11-05,88.800003,88.839996,88.169998,88.669998,85.558594,927900
2014-11-06,88.510002,89.18,88.349998,89.18,86.05069,1389700
2014-11-07,89.0,89.879997,88.809998,89.82,86.668243,1495300
2014-11-10,89.480003,90.709999,89.449997,90.709999,87.527008,1090700
2014-11-11,90.5,91.0,89.800003,90.18,87.01561,1039300
2014-11-12,90.150002,90.599998,89.610001,90.379997,87.20858,874000
2014-11-13,90.260002,90.93,89.839996,89.910004,86.755081,1017000
2014-11-14,89.809998,90.690002,89.559998,89.849998,86.697182,881000
2014-11-17,90.449997,90.730003,90.160004,90.470001,87.295433,988400
2014-11-18,90.440002,90.949997,90.169998,90.589996,87.411217,945400
2014-11-19,90.290001,90.75,90.040001,90.389999,87.218239,1032100
2014-11-20,89.760002,90.949997,89.760002,90.32,87.150711,1126500
2014-11-21,91.220001,91.519997,90.410004,91.389999,88.183144,1636800
2014-11-24,91.639999,92.400002,91.400002,92.309998,89.070862,1038900
2014-11-25,92.5,92.5,91.900002,91.93,88.704208,1338800
2014-11-26,92.139999,92.139999,91.269997,91.800003,88.578758,734600
2014-11-28,91.800003,92.699997,91.480003,92.489998,89.244545,678900
2014-12-01,92.279999,92.730003,91.839996,92.419998,89.17701,1243100
2014-12-02,92.25,92.720001,92.18,92.620003,89.369987,910600
2014-12-03,92.529999,93.849998,92.110001,93.760002,90.469986,1422700
2014-12-04,93.489998,95.419998,93.489998,94.639999,91.319099,3012200
2014-12-05,94.870003,95.809998,94.540001,95.099998,91.76297,1601200
2014-12-08,95.099998,97.730003,94.830002,97.599998,94.17524,3190100
2014-12-09,96.739998,98.099998,96.660004,97.190002,93.779633,2591500
2014-12-10,97.019997,97.779999,96.129997,96.32,92.940147,2447700
2014-12-11,96.529999,97.5,96.120003,96.290001,92.911194,1989600
2014-12-12,95.559998,96.360001,94.989998,95.010002,91.676109,1436200
2014-12-15,96.220001,96.559998,94.440002,94.860001,91.531387,1867300
2014-12-16,94.529999,95.970001,94.480003,94.510002,91.19368,1815700
2014-12-17,95.010002,96.07,94.309998,95.650002,92.293671,1724900
2014-12-18,96.620003,96.949997,95.830002,96.699997,93.306816,2547900
2014-12-19,97.230003,97.360001,96.589996,96.690002,93.29718,2574800
2014-12-22,97.0,97.25,96.580002,97.040001,93.63488,1013700
2014-12-23,97.160004,97.400002,96.620003,96.669998,93.277863,1742800
2014-12-24,96.779999,97.0,96.300003,96.519997,93.133118,657300
2014-12-26,96.849998,96.849998,96.0,96.260002,92.882263,683800
2014-12-29,96.019997,96.529999,95.639999,95.93,92.56385,782600
2014-12-30,95.940002,96.5,95.730003,96.230003,92.85331,834400
2014-12-31,96.349998,96.650002,94.790001,94.830002,91.502426,997200
2015-01-02,95.489998,96.050003,93.599998,94.330002,91.019989,933900
2015-01-05,93.879997,94.309998,93.029999,93.419998,90.141914,1107600
