Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,85.620003,85.870003,83.93,83.959999,79.945267,5182200
2014-10-23,85.129997,85.849998,84.870003,85.610001,81.516365,5000300
2014-10-24,85.690002,86.43,85.589996,86.400002,82.2686,3608000
2014-10-27,86.010002,86.75,85.760002,86.629997,82.487595,3610100
2014-10-28,87.07,88.010002,86.959999,88.010002,83.801605,3598400
2014-10-29,88.239998,88.989998,87.650002,88.339996,84.115829,4592500
2014-10-30,88.589996,89.489998,88.199997,88.739998,84.496696,5072900
2014-10-31,89.940002,90.599998,89.370003,89.949997,85.648842,6848600
2014-11-03,90.32,91.209999,90.220001,90.849998,86.505798,3707900
2014-11-04,90.620003,91.43,90.5,91.379997,87.01046,3163100
2014-11-05,91.760002,92.449997,91.760002,92.419998,88.000732,3617600
2014-11-06,92.129997,92.199997,91.110001,91.580002,87.200905,6005800
2014-11-07,91.709999,92.480003,91.230003,92.260002,87.848381,3669200
2014-11-10,92.209999,92.43,91.849998,92.400002,87.981674,2938700
2014-11-11,92.279999,92.589996,91.489998,91.739998,87.353249,2719800
2014-11-12,91.160004,91.669998,91.099998,91.550003,87.172333,3825500
2014-11-13,91.699997,91.699997,90.940002,91.07,86.715294,3638000
2014-11-14,91.07,91.239998,90.349998,90.669998,86.334404,2361600
2014-11-17,90.239998,90.260002,89.650002,90.129997,85.820229,2620600
2014-11-18,90.209999,90.93,90.029999,90.580002,86.248718,2175500
2014-11-19,90.300003,90.760002,90.019997,90.5,86.172531,2661200
2014-11-20,89.830002,90.910004,89.82,90.620003,86.286804,2825700
2014-11-21,91.660004,91.68,90.300003,90.389999,86.067795,4039200
2014-11-24,90.800003,91.169998,90.209999,91.040001,86.686714,3459500
2014-11-25,91.199997,91.580002,90.760002,91.400002,87.02951,3313700
2014-11-26,91.709999,91.709999,90.93,91.449997,87.077118,2218200
2014-11-28,91.610001,92.550003,91.580002,92.419998,88.000732,3070000
2014-12-01,92.07,92.629997,91.660004,92.139999,87.734108,3343000
2014-12-02,92.599998,93.0,92.32,93.0,88.552994,3111900
2014-12-03,92.610001,93.120003,91.050003,91.25,86.886688,5911100
2014-12-04,91.849998,91.849998,91.190002,91.830002,87.438934,3991000
2014-12-05,92.290001,92.860001,92.050003,92.650002,88.219734,2872600
2014-12-08,92.68,93.889999,92.400002,93.559998,89.086212,4467600
2014-12-09,92.190002,93.400002,91.980003,93.360001,88.895775,4069100
2014-12-10,92.860001,93.690002,92.559998,92.75,88.314957,4658000
2014-12-11,93.110001,94.620003,92.949997,93.129997,88.676773,4419100
2014-12-12,92.400002,93.019997,90.940002,91.0,86.648636,4480300
2014-12-15,91.440002,91.580002,89.150002,90.040001,85.734535,4766700
2014-12-16,89.370003,90.790001,88.190002,88.239998,84.020607,4948800
2014-12-17,88.559998,90.57,88.339996,90.440002,86.115402,5204400
2014-12-18,91.699997,93.209999,91.489998,93.169998,88.714867,4554200
2014-12-19,92.959999,93.910004,92.349998,92.900002,88.457794,7170300
2014-12-22,92.989998,93.660004,92.830002,93.620003,89.143349,2910800
2014-12-23,93.699997,94.279999,93.650002,93.82,89.333778,2864800
2014-12-24,93.959999,94.790001,93.959999,94.080002,89.58136,1321500
2014-12-26,94.199997,94.800003,94.199997,94.290001,89.781303,1439900
2014-12-29,94.0,94.889999,94.0,94.269997,89.762268,1483000
2014-12-30,94.230003,94.459999,94.029999,94.269997,89.762268,1425100
2014-12-31,94.650002,94.75,93.0,93.040001,88.591087,2306200
2015-01-02,93.169998,93.940002,92.139999,93.019997,88.572037,2437500
2015-01-05,92.459999,92.779999,90.32,90.559998,86.229668,3469600
