Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,92.940002,93.080002,91.410004,91.449997,91.369812,1735800
2014-10-23,92.529999,93.110001,92.029999,92.269997,92.189087,874500
2014-10-24,92.440002,92.860001,91.550003,92.830002,92.748596,756600
2014-10-27,92.849998,93.239998,92.360001,92.650002,92.568764,713300
2014-10-28,91.480003,92.580002,90.550003,92.580002,92.498817,1532400
2014-10-29,92.900002,94.139999,92.690002,94.0,93.917572,2970900
2014-10-30,94.5,97.559998,94.5,97.099998,97.014854,3049900
2014-10-31,98.660004,99.75,97.580002,99.57,99.482689,2593600
2014-11-03,99.639999,100.639999,99.379997,99.730003,99.642548,1659500
2014-11-04,99.5,101.269997,99.480003,101.019997,100.931412,3345400
2014-11-05,102.160004,102.160004,99.779999,100.0,99.912308,2339800
2014-11-06,100.279999,101.900002,99.910004,101.339996,101.251137,2014400
2014-11-07,100.57,101.209999,98.120003,98.989998,98.903198,2584900
2014-11-10,98.970001,101.730003,98.93,101.279999,101.191185,1980300
2014-11-11,101.519997,102.669998,101.459999,102.129997,102.040443,1924400
2014-11-12,101.599998,102.379997,101.360001,102.110001,102.020454,1479400
2014-11-13,102.080002,103.5,101.879997,102.709999,102.619934,2110100
2014-11-14,102.75,102.970001,101.449997,101.900002,101.810638,1706600
2014-11-17,101.910004,103.220001,101.889999,102.940002,102.849739,1468400
2014-11-18,102.970001,104.550003,102.970001,103.949997,103.858841,1579700
2014-11-19,103.980003,103.980003,102.370003,102.629997,102.540001,1419200
2014-11-20,102.360001,102.690002,101.879997,102.209999,102.120377,1372000
2014-11-21,103.279999,103.32,102.010002,102.18,102.090401,1566400
2014-11-24,102.610001,102.889999,101.93,102.400002,102.310204,1838500
2014-11-25,102.489998,102.610001,101.129997,101.900002,101.810638,1434300
2014-11-26,102.18,102.669998,101.330002,102.010002,101.920555,1045700
2014-11-28,102.43,103.589996,102.43,102.889999,102.799774,938300
2014-12-01,102.629997,103.360001,101.870003,102.559998,102.470062,1376100
2014-12-02,102.93,103.989998,102.470001,103.379997,103.289345,1493500
2014-12-03,103.839996,104.550003,103.459999,104.029999,103.938774,1207900
2014-12-04,104.0,104.110001,102.459999,103.190002,103.099518,1184000
2014-12-05,103.459999,105.07,103.32,104.709999,104.618179,1160900
2014-12-08,104.599998,105.599998,104.339996,104.879997,104.788033,1120500
2014-12-09,103.269997,104.639999,103.019997,104.389999,104.298454,1064100
2014-12-10,104.160004,104.43,102.260002,102.400002,102.310204,1442600
2014-12-11,102.639999,103.599998,102.199997,102.43,102.340179,1307500
2014-12-12,101.629997,103.459999,101.529999,101.730003,101.6408,1184800
2014-12-15,102.580002,103.43,100.410004,101.349998,101.261124,1415000
2014-12-16,101.160004,102.959999,99.879997,99.970001,99.882332,1131600
2014-12-17,100.349998,102.239998,100.220001,101.599998,101.510902,1108900
2014-12-18,102.75,104.580002,102.360001,104.580002,104.488297,1236800
2014-12-19,105.510002,105.589996,104.050003,104.529999,104.438339,2480700
2014-12-22,104.459999,105.309998,104.339996,105.199997,105.107758,1088700
2014-12-23,105.68,105.730003,103.919998,104.309998,104.218529,803200
2014-12-24,104.57,104.849998,104.209999,104.230003,104.138603,456600
2014-12-26,104.349998,104.779999,103.93,104.0,103.908806,587500
2014-12-29,103.620003,104.339996,103.110001,104.120003,104.028702,772000
2014-12-30,103.889999,104.830002,103.779999,104.349998,104.258492,602700
2014-12-31,104.480003,105.360001,102.870003,102.910004,102.819763,701200
2015-01-02,103.639999,104.529999,102.099998,102.830002,102.73983,720600
2015-01-05,102.260002,102.43,100.669998,101.059998,100.971382,1455000
2015-01-06,101.769997,102.559998,100.860001,101.459999,101.371033,2241400
2015-01-07,103.720001,104.510002,103.099998,103.839996,103.74894,1781700
2015-01-08,105.099998,109.239998,105.0,109.129997,109.034302,2307000
2015-01-09,109.040001,109.160004,107.82,108.0,107.905296,1310100
2015-01-12,108.550003,108.550003,105.580002,106.18,106.086899,1769700
2015-01-13,107.300003,109.099998,105.860001,106.830002,106.736328,1070000
2015-01-14,105.639999,108.330002,105.269997,107.440002,107.345787,1762800
2015-01-15,107.57,107.940002,106.110001,106.860001,106.766289,1133900
2015-01-16,106.830002,107.970001,105.839996,107.889999,107.795395,1451300
2015-01-20,108.370003,109.239998,107.279999,108.459999,108.364891,1170900
2015-01-21,108.489998,110.720001,108.019997,110.129997,110.033424,1821000
