Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,65.410004,65.699997,65.260002,65.32,61.114044,4656000
2014-10-23,65.739998,65.769997,64.839996,65.050003,60.861435,4083000
2014-10-24,64.169998,65.800003,64.0,65.349998,61.142105,4384400
2014-10-27,65.330002,66.32,65.260002,66.110001,61.853168,3265300
2014-10-28,66.370003,66.43,65.580002,65.790001,61.553776,2840000
2014-10-29,65.790001,66.110001,65.32,65.849998,61.609917,2384200
2014-10-30,65.760002,66.660004,65.519997,66.410004,62.133858,2161800
2014-10-31,67.019997,67.120003,66.459999,66.879997,62.573582,4362600
2014-11-03,66.800003,67.459999,66.709999,67.410004,63.069469,2817400
2014-11-04,67.169998,68.150002,67.139999,68.050003,63.668259,3836300
2014-11-05,68.809998,68.809998,67.879997,68.150002,63.761814,2529900
2014-11-06,68.18,68.199997,67.739998,68.110001,63.724392,2507300
2014-11-07,68.080002,68.199997,67.550003,68.050003,63.668259,1892500
2014-11-10,67.919998,68.559998,67.82,68.550003,64.13607,2475000
2014-11-11,68.510002,68.699997,68.300003,68.470001,64.061211,1510000
2014-11-12,68.239998,68.870003,68.129997,68.699997,64.276398,2156300
2014-11-13,68.940002,68.989998,68.260002,68.290001,63.892807,2316700
2014-11-14,68.199997,68.339996,67.510002,67.559998,63.209816,3054800
2014-11-17,67.480003,67.970001,67.339996,67.919998,63.546627,1950200
2014-11-18,68.0,68.110001,67.629997,67.970001,63.593414,1880800
2014-11-19,67.919998,68.32,67.639999,68.290001,63.892807,2136700
2014-11-20,68.110001,68.400002,67.910004,68.059998,63.677612,1654400
2014-11-21,68.629997,68.860001,68.330002,68.339996,63.939594,3142700
2014-11-24,68.5,68.540001,67.910004,67.949997,63.574684,2521200
2014-11-25,67.970001,68.449997,67.82,68.330002,63.930222,2570600
2014-11-26,68.470001,68.739998,68.330002,68.690002,64.267052,1895200
2014-11-28,68.879997,69.900002,68.830002,69.589996,65.109077,1876700
2014-12-01,68.669998,69.800003,68.629997,69.400002,64.931328,2507600
2014-12-02,69.510002,69.900002,69.150002,69.860001,65.361702,2365500
2014-12-03,69.699997,69.699997,68.779999,69.059998,64.61322,2408700
2014-12-04,69.059998,69.57,68.830002,69.449997,64.978111,3071000
2014-12-05,69.25,69.379997,68.559998,69.370003,64.903267,2521900
2014-12-08,69.5,69.809998,69.220001,69.440002,64.968742,2613700
2014-12-09,68.93,69.370003,68.769997,69.330002,64.865837,2781900
2014-12-10,69.419998,69.690002,68.82,68.870003,64.435463,2323100
2014-12-11,68.959999,69.980003,68.959999,69.279999,64.819046,2607000
2014-12-12,68.769997,69.599998,68.559998,68.57,64.15477,3369900
2014-12-15,68.650002,69.160004,67.779999,67.949997,63.574684,4459400
2014-12-16,67.760002,68.510002,67.25,67.510002,63.163025,4427400
