Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,23.67,23.68,23.24,23.26,21.057508,25172900
2014-10-23,23.610001,23.76,23.42,23.57,21.338148,21669900
2014-10-24,23.6,23.799999,23.459999,23.780001,21.528267,19942900
2014-10-27,23.620001,23.809999,23.6,23.76,21.51016,16862700
2014-10-28,23.82,24.07,23.82,24.07,21.790804,17798600
2014-10-29,24.01,24.299999,23.92,24.1,21.817966,18885500
2014-10-30,24.0,24.15,23.879999,24.08,21.799862,32212000
2014-10-31,24.59,24.639999,24.18,24.469999,22.152929,30379100
2014-11-03,24.450001,24.59,24.450001,24.58,22.252514,16383400
2014-11-04,24.6,24.91,24.58,24.879999,22.524105,24620900
2014-11-05,24.969999,25.17,24.84,25.15,22.768538,21979600
2014-11-06,25.1,25.280001,25.02,25.26,22.868126,18373700
2014-11-07,25.299999,25.4,25.16,25.33,22.931498,34001900
2014-11-10,25.040001,25.23,24.879999,25.15,22.768538,32152700
2014-11-11,25.200001,25.209999,25.02,25.15,22.768538,19801700
2014-11-12,24.91,25.190001,24.879999,25.110001,22.732325,42258800
2014-11-13,24.93,25.889999,24.879999,25.68,23.248354,57138800
2014-11-14,25.76,26.34,25.65,26.32,23.827751,48667000
2014-11-17,26.110001,26.549999,26.0,26.469999,23.963549,33224000
2014-11-18,26.5,26.74,26.4,26.6,24.081242,27223100
2014-11-19,26.58,26.620001,26.299999,26.59,24.072186,19882500
2014-11-20,26.49,26.84,26.35,26.809999,24.271355,23440100
2014-11-21,26.950001,27.049999,26.67,26.879999,24.334724,31912100
2014-11-24,26.879999,27.120001,26.879999,27.030001,24.470522,26994800
2014-11-25,27.030001,27.299999,27.030001,27.280001,24.696854,28110100
2014-11-26,27.299999,27.459999,27.139999,27.43,24.832649,19466000
2014-11-28,27.52,27.780001,27.360001,27.639999,25.02276,18138900
2014-12-01,27.5,27.610001,27.33,27.59,24.977495,19670200
2014-12-02,27.6,27.959999,27.6,27.82,25.185719,28247400
2014-12-03,27.709999,27.99,27.51,27.950001,25.30341,27858600
2014-12-04,27.92,27.99,27.58,27.77,25.14045,23797800
2014-12-05,27.790001,27.85,27.4,27.5,24.896019,26722300
2014-12-08,27.42,27.530001,27.15,27.23,24.651583,24275900
2014-12-09,26.950001,27.48,26.83,27.42,24.823595,25885900
2014-12-10,27.26,27.360001,26.790001,26.870001,24.325674,31773400
2014-12-11,26.969999,27.360001,26.940001,26.99,24.434309,22902400
2014-12-12,26.709999,27.15,26.700001,26.860001,24.31662,27032000
2014-12-15,26.889999,27.17,26.48,26.68,24.153666,27503200
2014-12-16,26.5,27.17,26.15,26.59,24.072186,36622000
2014-12-17,26.620001,26.9,26.469999,26.809999,24.271355,36617700
2014-12-18,27.040001,27.66,27.040001,27.65,25.031813,34927700
2014-12-19,27.65,27.85,27.549999,27.77,25.14045,59644100
2014-12-22,27.799999,28.290001,27.75,28.219999,25.547838,28858600
2014-12-23,28.219999,28.5,28.190001,28.25,25.575003,23538600
2014-12-24,28.290001,28.59,28.290001,28.299999,25.620268,11411200
2014-12-26,28.5,28.5,28.280001,28.35,25.665531,9739600
2014-12-29,28.35,28.57,28.32,28.459999,25.765116,13445600
2014-12-30,28.440001,28.48,28.309999,28.360001,25.674583,15487700
2014-12-31,28.280001,28.41,27.809999,27.82,25.185719,21478700
2015-01-02,27.860001,28.120001,27.379999,27.610001,25.167488,22926500
2015-01-05,27.32,27.450001,27.0,27.059999,24.666143,29460600
2015-01-06,27.139999,27.68,27.040001,27.049999,24.65703,47297600
2015-01-07,27.139999,27.4,26.98,27.299999,24.884909,27570800
2015-01-08,27.540001,28.09,27.469999,27.51,25.076332,40907000
2015-01-09,27.67,28.07,27.450001,27.790001,25.331562,33604100
2015-01-12,28.0,28.200001,27.82,28.049999,25.568563,38648400
2015-01-13,28.209999,28.700001,27.9,28.1,25.61414,36074200
2015-01-14,27.84,28.049999,27.639999,27.92,25.45006,29494400
2015-01-15,28.09,28.200001,27.35,27.41,24.98518,29521100
2015-01-16,27.360001,27.77,27.209999,27.68,25.231291,26655100
2015-01-20,27.76,28.27,27.66,28.07,25.586792,33550500
2015-01-21,28.059999,28.190001,27.700001,27.84,25.37714,29298500
2015-01-22,27.549999,28.51,27.219999,28.5,25.97875,49494700
2015-01-23,28.360001,28.5,28.139999,28.209999,25.714405,21695900
2015-01-26,28.219999,28.23,27.700001,27.969999,25.495638,18370100
2015-01-27,27.52,27.59,26.66,26.9,24.520296,46110500
2015-01-28,27.389999,27.6,26.799999,26.809999,24.438255,32381700
2015-01-29,26.74,27.309999,26.639999,27.219999,24.811985,28095400
2015-01-30,26.879999,27.110001,26.32,26.370001,24.037184,38419100
2015-02-02,26.389999,26.870001,25.92,26.83,24.456488,29417000
2015-02-03,26.9,27.120001,26.690001,27.120001,24.720835,27950800
2015-02-04,27.059999,27.219999,26.610001,26.690001,24.328876,27696300
2015-02-05,26.75,27.299999,26.58,27.26,24.848452,20548400
2015-02-06,27.370001,27.66,27.139999,27.24,24.830219,25288800
2015-02-09,27.209999,27.41,27.059999,27.120001,24.720835,23681000
2015-02-10,27.16,27.540001,27.15,27.49,25.058102,22250300
2015-02-11,27.65,27.65,26.9,26.93,24.54764,46213500
2015-02-12,28.99,29.58,28.84,29.459999,26.853827,117439100
2015-02-13,29.379999,29.5,29.110001,29.43,26.826483,50656700
2015-02-17,29.26,29.35,29.030001,29.309999,26.717094,34217200
2015-02-18,29.190001,29.549999,29.120001,29.49,26.881174,23848800
2015-02-19,29.309999,29.389999,29.129999,29.309999,26.717094,21477800
2015-02-20,29.35,29.66,29.16,29.610001,26.990555,25985600
2015-02-23,29.629999,29.65,29.42,29.629999,27.008787,24026800
2015-02-24,29.559999,29.709999,29.43,29.629999,27.008787,18453200
2015-02-25,29.440001,29.57,29.32,29.49,26.881174,17368100
2015-02-26,29.52,29.99,29.52,29.91,27.264015,28305200
2015-02-27,29.889999,29.91,29.379999,29.51,26.899403,29135500
2015-03-02,29.360001,30.309999,29.34,30.190001,27.519245,35981900
2015-03-03,30.1,30.120001,29.469999,29.540001,26.92675,32990300
2015-03-04,29.35,29.52,29.110001,29.33,26.735331,32182200
2015-03-05,29.469999,29.49,29.120001,29.299999,26.707981,17985000
2015-03-06,29.110001,29.27,28.799999,28.93,26.370712,27035000
2015-03-09,28.9,29.450001,28.76,29.360001,26.762672,23007700
2015-03-10,29.15,29.17,28.66,28.66,26.124598,26265600
2015-03-11,28.68,28.76,28.209999,28.26,25.759983,25160200
2015-03-12,28.049999,28.540001,28.049999,28.24,25.741753,22978700
