Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,50.060001,50.189999,47.5,47.610001,44.617374,18448200
2014-10-23,48.77,48.950001,47.400002,47.68,44.682976,13676100
2014-10-24,47.630001,48.220001,46.970001,48.209999,45.179668,10564600
2014-10-27,47.549999,47.740002,46.279999,46.490002,43.567768,18949000
2014-10-28,47.27,48.0,47.09,47.98,44.964119,11217600
2014-10-29,47.950001,48.099998,46.799999,47.380001,44.40184,18309800
2014-10-30,47.419998,48.66,47.18,48.25,45.217152,8955500
2014-10-31,48.75,49.439999,48.439999,49.400002,46.294865,11397600
2014-11-03,49.299999,49.950001,48.98,49.130001,46.041836,8698000
2014-11-04,48.75,49.220001,47.509998,47.580002,44.589264,12082600
2014-11-05,48.189999,49.200001,47.919998,49.16,46.069946,8465100
2014-11-06,49.119999,49.900002,48.860001,49.810001,46.679092,12584200
2014-11-07,49.84,50.130001,49.299999,49.5,46.388573,6675500
2014-11-10,49.57,49.84,49.169998,49.48,46.369835,6965000
2014-11-11,49.549999,49.990002,49.209999,49.52,46.407322,5204300
2014-11-12,50.27,50.970001,49.689999,49.900002,46.763439,12597500
2014-11-13,50.380001,51.349998,49.16,49.959999,46.81966,16645300
2014-11-14,50.540001,51.509998,50.259998,51.369999,48.141037,14319600
2014-11-17,51.389999,51.439999,50.75,51.119999,47.906746,5916000
2014-11-18,51.09,52.18,50.93,52.07,48.797035,13732800
2014-11-19,52.110001,52.400002,51.290001,51.48,48.244122,7495500
2014-11-20,51.0,51.549999,50.630001,51.48,48.244122,6442800
2014-11-21,53.279999,53.799999,52.310001,52.84,49.518631,14188300
2014-11-24,52.490002,52.799999,52.099998,52.259998,48.97509,10190600
2014-11-25,52.360001,52.48,51.389999,51.389999,48.159775,7953800
2014-11-26,51.389999,51.790001,50.939999,51.759998,48.506519,5730000
2014-11-28,50.18,50.25,48.48,48.669998,45.610748,13310500
2014-12-01,48.349998,48.98,47.360001,48.119999,45.095322,12783600
2014-12-02,48.139999,49.0,48.099998,48.810001,45.741951,9236700
2014-12-03,48.830002,49.669998,48.740002,49.419998,46.313606,8070500
2014-12-04,49.07,49.900002,49.040001,49.77,46.641605,5076500
2014-12-05,50.040001,50.779999,49.959999,50.16,47.007092,8608600
2014-12-08,50.07,50.23,48.119999,48.380001,45.338974,12484400
2014-12-09,47.720001,48.240002,46.919998,48.18,45.15155,10942900
2014-12-10,47.639999,47.709999,45.919998,46.34,43.4272,14102900
2014-12-11,46.810001,46.889999,45.84,46.009998,43.11795,8420400
2014-12-12,45.700001,45.720001,43.099998,43.349998,40.625141,22908800
2014-12-15,43.610001,43.779999,42.849998,43.450001,40.718864,15666500
2014-12-16,43.119999,44.73,42.57,42.709999,40.025375,16256700
2014-12-17,43.0,44.93,42.849998,44.549999,41.749718,17216000
2014-12-18,45.950001,46.299999,44.639999,45.48,42.621262,12511900
2014-12-19,45.470001,46.099998,45.470001,45.84,42.958633,12648900
2014-12-22,46.040001,46.200001,45.200001,45.77,42.893036,8695300
2014-12-23,45.799999,46.18,45.669998,45.98,43.089828,7052800
2014-12-24,45.950001,46.16,45.75,46.009998,43.11795,3418100
2014-12-26,46.18,46.75,46.0,46.48,43.558407,6336600
2014-12-29,46.060001,46.400002,45.900002,46.0,43.108578,5819700
2014-12-30,45.849998,46.189999,45.610001,46.07,43.174171,4451500
2014-12-31,46.07,46.09,45.529999,45.610001,42.743084,5929700
2015-01-02,45.689999,46.040001,45.279999,45.59,42.72435,6082800
2015-01-05,45.139999,45.240002,43.959999,44.18,41.402969,12123300
2015-01-06,44.220001,44.299999,42.98,43.470001,40.737606,11534800
2015-01-07,44.049999,44.150002,43.240002,43.400002,40.672009,9132500
2015-01-08,44.119999,44.860001,43.849998,44.48,41.684113,12182000
2015-01-09,44.830002,45.0,44.0,44.41,41.618523,6419500
2015-01-12,44.380001,44.5,43.310001,44.150002,41.374863,8210100
2015-01-13,44.52,44.790001,43.110001,43.610001,40.868805,10737400
2015-01-14,43.0,43.740002,41.950001,43.43,40.700115,12861400
2015-01-15,43.43,44.259998,43.259998,43.310001,40.587666,7716300
2015-01-16,43.259998,44.830002,43.25,44.790001,41.974632,9936300
2015-01-20,45.0,45.029999,43.68,44.130001,41.356117,8672900
2015-01-21,43.950001,44.790001,43.650002,44.740002,41.92778,7001700
2015-01-22,44.98,45.470001,44.389999,45.360001,42.508804,6231300
2015-01-23,45.150002,45.330002,44.560001,44.57,41.768467,7276400
2015-01-26,44.43,44.59,43.919998,44.560001,41.759087,11887900
2015-01-27,43.799999,44.650002,43.310001,44.169998,41.393604,7023800
2015-01-28,44.240002,44.470001,42.91,43.029999,40.325256,11385600
2015-01-29,44.07,45.34,43.110001,45.009998,42.180801,17682800
2015-01-30,44.48,45.720001,44.139999,45.16,42.321377,12216100
2015-02-02,45.32,45.669998,44.43,45.220001,42.377605,7874900
2015-02-03,45.880001,47.049999,45.77,46.889999,43.942631,10542800
2015-02-04,46.529999,46.66,46.0,46.220001,43.314747,6620300
2015-02-05,46.59,48.02,46.470001,47.799999,44.795437,15836400
2015-02-06,48.02,48.5,47.849998,48.400002,45.357716,8615400
2015-02-09,48.209999,48.869999,48.200001,48.259998,45.226517,9200900
2015-02-10,48.5,48.630001,47.970001,48.5,45.451427,6266900
2015-02-11,48.209999,48.400002,47.77,48.080002,45.057831,6281600
2015-02-12,48.549999,49.459999,48.389999,49.150002,46.060577,7004400
2015-02-13,49.060001,49.810001,48.950001,49.439999,46.332344,8249500
2015-02-17,48.509998,49.75,48.509998,49.57,46.454178,9006600
2015-02-18,49.119999,49.700001,48.990002,49.41,46.304234,6070700
2015-02-19,48.91,49.880001,48.700001,49.68,46.557262,7609900
2015-02-20,49.560001,49.810001,48.959999,49.529999,46.416687,6068700
2015-02-23,49.200001,49.720001,49.110001,49.490002,46.379211,7759500
2015-02-24,49.700001,50.220001,49.599998,49.810001,46.679092,12414200
2015-02-25,49.849998,50.139999,49.580002,49.849998,46.716579,5132200
2015-02-26,49.599998,49.849998,49.040001,49.25,46.154289,7216600
2015-02-27,49.240002,49.66,49.099998,49.240002,46.144924,6661700
2015-03-02,49.240002,49.450001,48.900002,49.349998,46.248005,5748500
2015-03-03,49.130001,49.490002,48.93,49.25,46.154289,4908900
2015-03-04,49.110001,50.130001,48.849998,49.57,46.454178,10470200
2015-03-05,49.790001,49.869999,48.709999,48.889999,45.816921,7875900
2015-03-06,49.41,49.41,47.759998,47.939999,44.926632,12678300
2015-03-09,48.049999,48.380001,47.84,47.93,44.917259,9569400
2015-03-10,47.369999,47.650002,46.849998,47.110001,44.148804,9092500
2015-03-11,47.09,47.419998,46.700001,46.779999,43.839546,7308200
2015-03-12,47.029999,47.639999,46.880001,47.459999,44.476807,7355700
2015-03-13,47.150002,47.220001,46.720001,47.049999,44.092575,6903700
2015-03-16,47.0,47.09,46.380001,47.029999,44.07383,7606900
2015-03-17,46.75,46.849998,46.25,46.630001,43.698978,6321600
2015-03-18,46.290001,48.040001,45.93,47.540001,44.551785,8776000
2015-03-19,47.07,47.18,46.5,46.73,43.792686,6600500
2015-03-20,46.759998,47.580002,46.560001,47.290001,44.317493,12337500
2015-03-23,47.27,47.5,47.099998,47.23,44.261265,5431900
2015-03-24,47.099998,47.459999,46.740002,47.209999,44.242519,5641600
2015-03-25,47.490002,47.740002,46.82,46.830002,43.88641,7082700
2015-03-26,46.73,47.330002,46.619999,46.860001,43.914513,7526100
2015-03-27,48.41,48.84,47.73,47.759998,45.162735,19564500
2015-03-30,49.0,49.25,48.509998,48.68,46.032703,11279700
2015-03-31,48.66,48.66,47.860001,47.98,45.37077,8167900
2015-04-01,48.029999,48.099998,47.209999,47.900002,45.295124,6844700
2015-04-02,47.610001,48.389999,47.529999,48.240002,45.616631,6064900
2015-04-06,48.220001,49.220001,48.009998,48.68,46.032703,7493600
2015-04-07,48.580002,49.099998,48.439999,48.52,45.881413,8280100
2015-04-08,48.52,48.84,48.209999,48.369999,45.739563,5596300
2015-04-09,48.369999,49.130001,48.369999,48.740002,46.089439,6168000
2015-04-10,48.790001,48.990002,48.349998,48.389999,45.758476,6918800
2015-04-13,48.560001,48.580002,48.189999,48.27,45.645004,5363600
2015-04-14,48.41,48.990002,48.349998,48.830002,46.174545,5311400
2015-04-15,48.990002,50.43,48.990002,50.110001,47.384937,14216000
2015-04-16,49.889999,50.09,49.32,49.75,47.044518,8359600
2015-04-17,49.619999,49.91,49.330002,49.66,46.959412,6087800
2015-04-20,49.900002,50.200001,49.700001,50.09,47.366028,8493900
2015-04-21,50.09,50.18,49.220001,49.650002,46.949955,7849800
2015-04-22,49.5,50.259998,49.209999,50.02,47.299839,9816900
2015-04-23,50.849998,51.400002,50.110001,51.0,48.226536,12445000
2015-04-24,51.150002,51.43,50.689999,51.119999,48.340012,7532600
2015-04-27,51.400002,51.900002,51.200001,51.470001,48.670982,7514600
2015-04-28,51.310001,51.84,50.759998,51.82,49.001949,8000000
2015-04-29,51.290001,51.919998,51.130001,51.610001,48.803368,7482000
2015-04-30,51.540001,51.669998,50.880001,51.0,48.226536,7070100
2015-05-01,51.259998,51.82,51.169998,51.689999,48.879013,6372800
2015-05-04,51.84,51.950001,51.599998,51.650002,48.84119,4087800
2015-05-05,51.849998,52.349998,51.189999,51.349998,48.557503,7014400
2015-05-06,51.73,51.91,50.540001,50.880001,48.113064,8730800
2015-05-07,50.68,50.77,50.299999,50.639999,47.886116,5799600
2015-05-08,51.209999,51.939999,51.209999,51.849998,49.030319,8130400
2015-05-11,51.82,51.98,51.439999,51.900002,49.077595,8655300
2015-05-12,51.52,51.59,50.849998,50.950001,48.17926,6562300
2015-05-13,50.959999,51.150002,50.540001,50.73,47.971222,5904200
2015-05-14,51.110001,51.380001,50.939999,51.240002,48.453491,5055200
2015-05-15,51.150002,51.52,50.77,51.509998,48.708805,4100400
2015-05-18,51.509998,51.59,50.98,51.0,48.226536,4725800
2015-05-19,50.93,51.0,50.450001,50.73,47.971222,6195200
2015-05-20,50.860001,51.419998,50.720001,51.040001,48.264362,5270300
2015-05-21,51.07,51.639999,50.860001,51.380001,48.585873,4257300
2015-05-22,51.16,51.41,50.959999,51.290001,48.500767,2953900
2015-05-26,50.98,51.200001,50.27,50.619999,47.867203,6550800
2015-05-27,50.599998,51.290001,50.490002,51.200001,48.415665,9464500
2015-05-28,51.209999,51.639999,51.009998,51.57,48.765541,5238300
2015-05-29,51.59,52.23,51.259998,52.07,49.23835,9600000
2015-06-01,52.07,52.34,51.48,52.259998,49.418015,9787500
