Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,133.75,133.779999,131.100006,131.470001,128.890961,1497800
2014-10-23,132.880005,133.380005,132.25,132.630005,130.028183,727300
2014-10-24,132.720001,133.160004,131.619995,133.110001,130.498795,610000
2014-10-27,133.100006,133.710007,132.440002,132.729996,130.126236,1092600
2014-10-28,131.139999,134.910004,130.509995,134.729996,132.08699,806800
2014-10-29,135.0,136.600006,134.259995,134.949997,132.302689,741500
2014-10-30,134.509995,138.0,134.509995,137.179993,134.488953,847500
2014-10-31,138.929993,139.869995,138.309998,138.850006,136.126205,1219100
2014-11-03,139.0,139.75,137.639999,138.479996,135.763443,818000
2014-11-04,138.5,139.649994,137.220001,137.75,135.047775,1138300
2014-11-05,139.449997,139.940002,137.130005,138.940002,136.214417,1582000
2014-11-06,139.059998,140.649994,138.729996,139.869995,137.12619,1395500
2014-11-07,131.399994,135.75,129.309998,130.580002,128.018433,5468300
2014-11-10,131.509995,133.210007,131.160004,132.460007,129.861542,2620300
2014-11-11,132.949997,136.589996,132.949997,136.440002,133.763474,1411100
2014-11-12,136.089996,137.75,134.440002,137.25,134.557571,1376100
2014-11-13,137.490005,139.300003,136.960007,138.410004,135.694824,1485700
2014-11-14,138.110001,138.429993,135.410004,135.770004,133.106598,1179800
2014-11-17,136.0,138.089996,135.570007,137.470001,134.77327,721900
2014-11-18,137.910004,140.759995,137.559998,139.289993,136.557556,1114700
2014-11-19,139.020004,139.440002,136.169998,136.559998,133.881104,1041000
2014-11-20,136.119995,136.710007,135.380005,136.199997,133.528183,984600
2014-11-21,137.5,137.789993,136.020004,136.419998,133.743851,1118300
2014-11-24,137.300003,140.460007,136.710007,139.839996,137.096741,1388800
2014-11-25,139.839996,140.919998,137.630005,137.690002,134.988937,1667400
2014-11-26,138.179993,138.690002,136.669998,137.490005,134.792877,806200
2014-11-28,137.539993,138.979996,137.449997,137.970001,135.263443,814500
2014-12-01,137.649994,140.619995,137.259995,139.080002,136.351654,1114800
2014-12-02,138.360001,140.220001,137.179993,140.119995,137.371277,1041800
2014-12-03,141.119995,144.300003,140.559998,141.710007,138.930115,1475400
2014-12-04,141.119995,141.580002,139.520004,141.119995,138.351639,983000
2014-12-05,141.619995,145.759995,141.470001,144.320007,141.488907,2356100
2014-12-08,143.970001,145.259995,143.759995,144.570007,141.733994,1121100
2014-12-09,142.229996,143.919998,142.020004,143.449997,140.63591,699700
2014-12-10,142.25,142.789993,140.399994,141.440002,138.66539,1333100
2014-12-11,141.669998,144.490005,141.669998,142.479996,139.684952,777200
2014-12-12,141.720001,146.0,141.649994,143.600006,140.78302,1421400
2014-12-15,144.0,144.539993,141.009995,143.080002,140.273224,1051800
2014-12-16,142.710007,145.600006,141.0,141.149994,138.381058,1409100
2014-12-17,141.210007,144.470001,141.210007,143.330002,140.518311,1194700
2014-12-18,144.809998,149.089996,143.369995,149.070007,146.145706,1393800
2014-12-19,149.839996,151.520004,146.419998,146.470001,143.59671,2094000
2014-12-22,146.240005,147.860001,146.229996,146.339996,143.469254,1188500
