Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,65.349998,65.580002,64.629997,64.660004,60.837688,8396900
2014-10-23,65.089996,65.879997,65.059998,65.610001,61.731541,6642600
2014-10-24,65.75,66.599998,65.650002,66.559998,62.625374,7883000
2014-10-27,66.419998,66.699997,65.510002,66.260002,62.343113,6673100
2014-10-28,66.32,66.529999,66.160004,66.510002,62.578331,5708600
2014-10-29,66.5,67.360001,66.230003,67.040001,63.076996,8229200
2014-10-30,66.830002,67.75,66.589996,67.43,63.443939,5566400
2014-10-31,68.209999,68.410004,67.889999,68.160004,64.130791,8663400
2014-11-03,68.120003,68.389999,67.580002,68.150002,64.121391,4436000
2014-11-04,68.110001,68.290001,67.389999,67.93,63.914391,5679800
2014-11-05,68.699997,69.010002,68.279999,68.699997,64.638878,11671500
2014-11-06,68.860001,69.099998,68.480003,68.739998,64.676498,7329500
2014-11-07,68.699997,68.860001,67.790001,68.099998,64.074348,6054000
2014-11-10,68.120003,68.75,67.690002,68.709999,64.648262,5932900
2014-11-11,68.709999,69.330002,68.459999,68.989998,64.911728,4542400
2014-11-12,68.550003,68.900002,68.25,68.5,64.450684,4630500
2014-11-13,68.82,69.620003,68.660004,69.379997,65.278679,6920100
2014-11-14,69.459999,69.489998,68.800003,68.949997,64.874084,5833700
2014-11-17,68.769997,69.639999,68.730003,69.190002,65.099892,5325500
2014-11-18,69.389999,72.739998,68.830002,72.470001,68.186012,12950300
2014-11-19,72.269997,72.459999,71.639999,71.760002,67.517975,8109000
2014-11-20,71.389999,72.089996,70.900002,72.080002,67.819069,6878100
2014-11-21,72.82,72.889999,72.129997,72.489998,68.204811,8974400
2014-11-24,72.599998,72.949997,72.309998,72.93,68.618813,6667100
2014-11-25,72.790001,73.129997,72.650002,72.790001,68.487083,5621000
2014-11-26,72.82,73.550003,72.760002,73.480003,69.136292,5062600
2014-11-28,73.93,74.529999,73.629997,73.870003,69.50325,3074500
2014-12-01,73.410004,74.169998,72.940002,73.870003,69.50325,5350000
2014-12-02,73.989998,74.779999,73.980003,74.330002,69.936058,5501000
2014-12-03,74.209999,75.040001,74.139999,74.839996,70.415901,7224500
2014-12-04,74.839996,74.989998,73.470001,73.940002,69.569115,8246300
2014-12-05,73.879997,75.099998,73.709999,75.040001,70.604103,9583400
2014-12-08,74.809998,75.309998,74.510002,74.790001,70.368866,7343800
2014-12-09,73.709999,74.779999,73.620003,74.720001,70.302994,5373400
2014-12-10,74.239998,74.580002,73.199997,73.230003,68.901093,6506900
2014-12-11,73.669998,74.279999,73.550003,73.769997,69.409164,6224000
2014-12-12,72.720001,73.720001,72.5,72.519997,68.233055,7567800
2014-12-15,73.419998,73.510002,71.970001,71.989998,67.734383,6942700
2014-12-16,70.800003,73.019997,70.779999,71.339996,67.122803,8380100
2014-12-17,71.75,72.769997,71.57,72.669998,68.374191,9045900
2014-12-18,73.730003,74.68,73.400002,74.629997,70.218315,7014800
2014-12-19,74.660004,75.0,74.0,74.620003,70.208916,10460600
2014-12-22,74.650002,75.639999,74.580002,75.57,71.102753,10384000
2014-12-23,75.550003,75.660004,73.739998,73.769997,69.409164,7335600
2014-12-24,73.879997,74.449997,73.419998,74.080002,69.700844,3232500
2014-12-26,74.050003,74.220001,73.510002,73.610001,69.258621,4206200
2014-12-29,73.379997,73.93,73.190002,73.690002,69.333893,4611400
2014-12-30,73.440002,73.629997,72.660004,73.07,69.036278,4990800
2014-12-31,73.279999,73.75,72.110001,72.199997,68.214317,4737400
2015-01-02,72.129997,72.989998,71.410004,71.879997,67.911972,6029800
2015-01-05,71.5,71.839996,71.089996,71.580002,67.628525,11258700
2015-01-06,72.0,72.470001,70.870003,71.220001,67.288414,12838800
2015-01-07,71.720001,73.099998,71.510002,73.0,68.970139,8104100
2015-01-08,73.709999,74.779999,73.709999,74.75,70.623528,7608400
2015-01-09,74.629997,74.839996,74.139999,74.400002,70.29287,8787700
2015-01-12,74.459999,74.739998,74.099998,74.470001,70.358978,7292800
2015-01-13,74.879997,75.389999,72.540001,72.790001,68.771736,9508300
2015-01-14,71.790001,72.459999,71.410004,71.769997,67.808029,8702300
2015-01-15,72.290001,72.410004,71.480003,71.900002,67.930862,13290200
2015-01-16,71.690002,72.849998,71.25,72.760002,68.743393,8832000
2015-01-20,72.940002,73.25,71.610001,72.199997,68.214317,10524900
2015-01-21,71.879997,73.239998,71.480003,73.059998,69.026817,10793800
2015-01-22,72.970001,75.489998,72.970001,75.480003,71.313232,17866600
2015-01-23,75.849998,77.389999,75.470001,76.949997,72.702095,23243300
2015-01-26,76.870003,76.93,74.980003,75.589996,71.41716,34907400
2015-01-27,75.019997,75.610001,74.620003,75.260002,71.105385,9927200
2015-01-28,74.849998,75.510002,73.410004,73.410004,69.357506,12731800
2015-01-29,73.120003,73.379997,72.110001,73.010002,68.979591,11889900
2015-01-30,72.839996,72.919998,71.209999,71.400002,67.458458,15810900
2015-02-02,70.980003,72.779999,70.910004,72.760002,68.743393,9912300
2015-02-03,73.480003,74.809998,73.139999,74.790001,70.661331,9738500
2015-02-04,74.650002,75.089996,73.980003,74.129997,70.037766,7378300
2015-02-05,75.129997,75.459999,74.709999,75.32,71.162071,5737700
2015-02-06,75.32,75.660004,74.300003,74.470001,70.358978,5371500
2015-02-09,74.260002,74.559998,73.470001,73.620003,69.555923,5470800
2015-02-10,73.959999,75.059998,73.739998,74.870003,70.736923,5663300
2015-02-11,74.900002,75.18,74.040001,74.389999,70.283409,7457700
2015-02-12,74.809998,75.040001,74.300003,74.93,70.79361,5542800
