Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,45.0,45.07,44.23,44.380001,41.079033,33570900
2014-10-23,44.619999,45.450001,44.529999,45.02,41.671432,45451900
2014-10-24,46.830002,46.900002,45.18,46.130001,42.698868,61076700
2014-10-27,45.709999,46.099998,45.709999,45.91,42.495235,30371300
2014-10-28,45.860001,46.5,45.77,46.490002,43.032089,29049800
2014-10-29,46.439999,46.700001,46.34,46.619999,43.15242,30276100
2014-10-30,46.32,46.32,45.77,46.049999,42.624813,30073900
2014-10-31,46.939999,46.970001,46.48,46.950001,43.457882,35849700
2014-11-03,46.889999,47.459999,46.73,47.439999,43.91143,23130400
2014-11-04,47.299999,47.73,47.25,47.57,44.031761,21530800
2014-11-05,47.799999,47.900002,47.259998,47.860001,44.30019,22449600
2014-11-06,47.860001,48.860001,47.790001,48.700001,45.077717,33037800
2014-11-07,48.919998,48.919998,48.290001,48.68,45.059204,28000600
2014-11-10,48.650002,49.150002,48.549999,48.889999,45.253582,36370100
2014-11-11,48.849998,48.950001,48.650002,48.869999,45.235065,23445200
2014-11-12,48.560001,48.919998,48.52,48.779999,45.151764,22722100
2014-11-13,48.810001,49.650002,48.709999,49.610001,45.920025,26210400
2014-11-14,49.740002,50.049999,49.389999,49.580002,45.892262,29081700
2014-11-17,49.41,49.709999,49.139999,49.459999,45.781189,30318600
2014-11-18,49.130001,49.330002,48.700001,48.740002,45.399288,23995500
2014-11-19,48.66,48.75,47.93,48.220001,44.914928,26177500
2014-11-20,48.0,48.700001,47.869999,48.700001,45.362034,21510600
2014-11-21,49.02,49.049999,47.57,47.98,44.69138,42884800
2014-11-24,47.990002,48.0,47.389999,47.59,44.328106,35434200
2014-11-25,47.66,47.970001,47.450001,47.470001,44.216328,28008000
2014-11-26,47.490002,47.990002,47.279999,47.75,44.477142,27163600
2014-11-28,47.950001,48.200001,47.610001,47.810001,44.533028,21534400
2014-12-01,47.880001,48.779999,47.709999,48.619999,45.28751,31191600
2014-12-02,48.84,49.049999,48.200001,48.459999,45.138477,25773500
2014-12-03,48.439999,48.5,47.810001,48.080002,44.784527,23534800
2014-12-04,48.389999,49.060001,48.200001,48.84,45.492428,30320400
2014-12-05,48.82,48.970001,48.380001,48.419998,45.101219,27313400
2014-12-08,48.259998,48.349998,47.450001,47.700001,44.430573,26663100
2014-12-09,47.110001,47.919998,47.049999,47.59,44.328106,24330500
2014-12-10,47.580002,47.66,46.700001,46.900002,43.685402,30431800
2014-12-11,47.080002,47.740002,46.68,47.169998,43.936897,29060400
2014-12-12,46.779999,47.73,46.669998,46.950001,43.731968,34248400
2014-12-15,47.200001,47.669998,46.549999,46.669998,43.471161,29247800
2014-12-16,45.900002,46.34,45.130001,45.16,42.064671,47801400
2014-12-17,45.049999,45.950001,44.900002,45.740002,42.604912,34970900
2014-12-18,46.580002,47.52,46.34,47.52,44.262901,40105600
2014-12-19,47.630001,48.099998,47.169998,47.66,44.393311,64551200
2014-12-22,47.779999,48.119999,47.709999,47.98,44.69138,26566000
2014-12-23,48.369999,48.799999,48.130001,48.450001,45.129169,23648100
2014-12-24,48.639999,48.639999,48.080002,48.139999,44.840408,11437800
2014-12-26,48.41,48.41,47.82,47.880001,44.598236,13197800
2014-12-29,47.700001,47.779999,47.259998,47.450001,44.197708,14439500
2014-12-30,47.439999,47.619999,46.84,47.02,43.79718,16384700
