Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,95.5,97.160004,95.32,96.529999,88.390968,2381200
2014-10-23,97.300003,98.300003,96.699997,97.800003,89.553879,2354000
2014-10-24,98.0,98.779999,97.550003,98.360001,90.066658,1650700
2014-10-27,98.239998,98.989998,97.830002,98.089996,89.819427,1353300
2014-10-28,98.43,99.129997,97.760002,99.129997,90.771736,1918300
2014-10-29,99.0,99.480003,97.519997,98.599998,90.286415,1821400
2014-10-30,98.980003,100.169998,97.510002,99.910004,91.485985,2849000
2014-10-31,100.510002,100.510002,98.870003,100.220001,91.769829,2521000
2014-11-03,100.32,101.040001,99.650002,100.809998,92.310081,2236100
2014-11-04,100.949997,101.610001,100.370003,100.959999,92.447441,1991500
2014-11-05,101.769997,105.169998,101.529999,104.879997,96.036919,5502600
2014-11-06,104.519997,105.129997,102.75,103.949997,95.185326,3619900
2014-11-07,103.849998,104.760002,103.220001,104.730003,95.899567,2076800
2014-11-10,104.419998,105.610001,103.839996,105.610001,96.70536,1470200
2014-11-11,105.510002,105.940002,104.620003,104.800003,95.963661,1845700
2014-11-12,103.029999,104.059998,102.120003,103.089996,94.397835,2554000
2014-11-13,103.089996,103.830002,101.900002,102.269997,93.646973,1765000
2014-11-14,101.949997,102.370003,101.639999,101.849998,93.262383,1866300
2014-11-17,101.709999,103.419998,101.639999,103.209999,94.507721,1360000
2014-11-18,103.349998,103.790001,102.709999,103.339996,94.626762,1614300
2014-11-19,103.540001,103.910004,102.839996,103.709999,94.965576,1760100
2014-11-20,102.889999,103.400002,102.68,103.059998,94.370369,1317800
2014-11-21,104.010002,104.010002,102.75,103.739998,94.993027,1973400
2014-11-24,103.900002,104.169998,103.169998,103.220001,94.516891,1404400
2014-11-25,102.519997,103.059998,101.809998,102.849998,94.844246,1848700
2014-11-26,103.080002,103.379997,102.629997,103.199997,95.167007,1332800
2014-11-28,103.309998,105.129997,103.309998,104.389999,96.264389,988000
2014-12-01,103.839996,105.620003,103.410004,104.809998,96.651688,1899400
2014-12-02,104.449997,105.480003,103.889999,105.110001,96.928329,1443900
2014-12-03,104.790001,105.349998,104.040001,104.389999,96.264389,1601100
2014-12-04,102.650002,104.099998,102.580002,103.489998,95.434425,3653100
2014-12-05,102.639999,103.580002,102.199997,102.93,94.918022,1767900
2014-12-08,102.82,104.300003,102.82,103.669998,95.600418,1798100
2014-12-09,103.529999,104.68,103.410004,104.589996,96.448807,1653800
2014-12-10,103.220001,103.989998,101.239998,101.440002,93.543991,5374100
2014-12-11,101.75,103.18,101.510002,102.480003,94.503059,2338700
2014-12-12,101.800003,102.949997,100.769997,100.809998,92.963043,2575900
2014-12-15,101.849998,101.949997,99.57,100.660004,92.824715,2815700
2014-12-16,100.870003,102.510002,100.07,101.080002,93.212021,2649200
2014-12-17,101.32,103.32,100.860001,103.120003,95.093231,2759700
2014-12-18,104.040001,105.470001,103.199997,105.449997,97.241867,2206600
2014-12-19,105.68,106.43,104.790001,105.870003,97.629181,3486400
2014-12-22,105.860001,106.230003,105.25,105.940002,97.693718,1635600
2014-12-23,106.360001,106.790001,105.790001,106.32,98.044136,1263600
2014-12-24,106.510002,108.57,106.339996,107.980003,99.574936,1153800
2014-12-26,108.279999,109.690002,108.010002,109.290001,100.782959,2201000
2014-12-29,109.110001,110.839996,109.059998,110.5,101.898781,1952200
2014-12-30,110.440002,110.440002,107.620003,107.830002,99.436615,1436600
2014-12-31,107.849998,108.470001,106.18,106.290001,98.016472,1497800
2015-01-02,106.629997,107.129997,105.379997,106.690002,98.385345,1614800
2015-01-05,106.580002,106.769997,105.190002,105.559998,97.343292,2038400
2015-01-06,105.919998,107.910004,105.760002,105.970001,97.721405,2655800
2015-01-07,107.589996,107.959999,106.07,106.940002,98.615898,1823000
