Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,38.369999,38.43,37.580002,37.639999,35.977161,16810200
2014-10-23,38.080002,38.5,38.009998,38.23,36.541096,9659100
2014-10-24,38.32,38.740002,38.25,38.73,37.019012,8975900
2014-10-27,38.5,38.720001,38.349998,38.43,36.732265,7525300
2014-10-28,38.34,38.73,38.34,38.650002,36.942547,11631800
2014-10-29,38.73,38.740002,38.459999,38.580002,36.875641,10923800
2014-10-30,38.400002,38.66,38.389999,38.5,36.799171,9644400
2014-10-31,38.880001,39.049999,38.830002,39.049999,37.324871,16142800
2014-11-03,39.02,39.040001,38.759998,38.990002,37.267525,10318600
2014-11-04,38.93,39.150002,38.900002,39.130001,37.401333,12671000
2014-11-05,39.34,39.509998,39.110001,39.290001,37.55426,12280300
2014-11-06,39.220001,39.860001,39.110001,39.810001,38.0513,11603400
2014-11-07,39.689999,39.970001,39.610001,39.939999,38.175552,13728500
2014-11-10,39.970001,40.490002,39.889999,40.450001,38.663017,11058100
2014-11-11,40.529999,40.59,40.349998,40.470001,38.68214,7061000
2014-11-12,40.560001,40.59,40.049999,40.139999,38.366714,10965100
2014-11-13,40.169998,40.77,39.889999,40.720001,38.921093,11868700
2014-11-14,40.860001,41.07,40.630001,40.84,39.035793,11476500
2014-11-17,40.709999,41.200001,40.630001,41.16,39.341648,11987600
2014-11-18,41.189999,41.48,41.110001,41.259998,39.437241,9328200
2014-11-19,41.150002,41.27,40.810001,40.919998,39.112263,9202600
2014-11-20,40.709999,41.009998,40.610001,40.919998,39.112263,9062200
2014-11-21,41.32,41.5,41.169998,41.439999,39.60928,12641400
2014-11-24,41.490002,41.639999,41.360001,41.43,39.599728,9542100
2014-11-25,41.509998,41.639999,41.150002,41.150002,39.3321,12404200
2014-11-26,41.18,41.91,41.18,41.869999,40.02029,11590000
2014-11-28,41.98,42.509998,41.889999,42.41,40.53643,11890100
2014-12-01,42.009998,42.380001,42.009998,42.080002,40.221016,10802400
