Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,28.25,28.49,28.01,28.299999,25.170803,30788600
2014-10-23,28.65,28.870001,28.57,28.6,25.437634,30775100
2014-10-24,28.799999,29.27,28.709999,29.110001,25.891241,28424900
2014-10-27,29.09,29.209999,28.950001,29.030001,25.820084,22967100
2014-10-28,29.17,29.299999,28.860001,29.09,25.873455,32382400
2014-10-29,29.15,29.629999,29.040001,29.49,26.229221,27338700
2014-10-30,29.389999,29.98,29.389999,29.84,26.540522,21097200
2014-10-31,30.01,30.200001,29.809999,29.950001,26.638363,25195200
2014-11-03,29.9,30.200001,29.860001,30.190001,26.851824,21734700
2014-11-04,30.139999,30.299999,29.870001,30.280001,26.931873,24386100
2014-11-05,30.370001,30.41,29.950001,30.040001,26.949814,19808500
2014-11-06,30.08,30.26,29.969999,30.040001,26.949814,16517400
2014-11-07,30.129999,30.129999,29.76,29.92,26.842157,17268000
2014-11-10,29.959999,30.280001,29.809999,30.200001,27.093355,22840400
2014-11-11,30.18,30.4,30.1,30.32,27.201012,15729800
2014-11-12,30.23,30.540001,30.23,30.42,27.290724,23469600
2014-11-13,30.52,30.620001,30.26,30.42,27.290724,14352900
2014-11-14,30.379999,30.559999,30.219999,30.34,27.218954,18133000
2014-11-17,29.91,30.41,29.879999,30.32,27.201012,26236800
2014-11-18,30.49,30.68,30.299999,30.59,27.443232,20235200
2014-11-19,30.42,30.559999,30.280001,30.440001,27.308666,15876900
2014-11-20,30.33,30.49,30.25,30.440001,27.308666,16476900
2014-11-21,30.75,30.780001,30.200001,30.450001,27.317636,27597800
2014-11-24,30.530001,30.629999,30.120001,30.219999,27.111296,32752600
2014-11-25,30.209999,30.66,30.18,30.469999,27.335579,25506900
2014-11-26,30.65,31.120001,30.59,31.1,27.900768,27476000
2014-11-28,31.129999,31.639999,31.059999,31.15,27.945625,20278700
2014-12-01,30.879999,31.51,30.879999,31.26,28.044313,22951400
2014-12-02,31.440001,31.620001,31.280001,31.57,28.32242,25387600
2014-12-03,31.5,31.780001,31.309999,31.75,28.48391,31455600
2014-12-04,31.559999,31.82,31.35,31.67,28.412136,19076300
