Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,76.75,77.550003,75.349998,75.389999,68.932304,5186800
2014-10-23,76.419998,77.07,75.959999,76.120003,69.599762,3218500
2014-10-24,76.150002,76.57,74.849998,76.489998,69.938057,2924800
2014-10-27,75.650002,76.110001,74.529999,75.480003,69.014587,4295500
2014-10-28,75.849998,77.720001,75.169998,77.529999,70.888977,7580200
2014-10-29,78.559998,78.970001,75.610001,76.389999,69.846626,4319500
2014-10-30,76.349998,77.57,75.629997,77.400002,70.770134,3747000
2014-10-31,77.699997,78.760002,76.650002,78.5,71.775894,3848500
2014-11-03,78.459999,78.849998,76.379997,76.68,70.111794,5523700
2014-11-04,76.019997,76.440002,73.480003,74.489998,68.109367,6013000
2014-11-05,74.900002,76.370003,73.68,74.739998,68.337959,5429500
2014-11-06,75.18,75.639999,74.32,75.419998,68.959732,4054400
2014-11-07,75.300003,75.589996,74.279999,74.699997,68.301392,5464000
2014-11-10,75.0,75.599998,74.379997,74.5,68.118523,3332200
2014-11-11,74.889999,75.150002,73.230003,73.639999,67.332191,3976000
2014-11-12,72.970001,74.209999,72.849998,73.040001,67.240143,3703800
2014-11-13,72.629997,72.720001,70.220001,70.830002,65.205612,5418400
2014-11-14,70.940002,71.839996,70.800003,71.779999,66.080177,7638900
2014-11-17,71.790001,73.120003,71.790001,72.779999,67.000786,4327600
2014-11-18,73.150002,74.540001,72.82,73.959999,68.087059,4730000
2014-11-19,74.139999,76.080002,73.790001,75.769997,69.753342,4721100
2014-11-20,75.519997,77.989998,75.5,77.830002,71.649765,4789900
2014-11-21,79.010002,80.32,78.220001,79.419998,73.113525,5331200
2014-11-24,79.129997,79.900002,79.059998,79.419998,73.113525,2976700
2014-11-25,79.760002,80.169998,79.019997,79.540001,73.223999,3458700
2014-11-26,79.57,79.650002,78.699997,79.279999,72.984627,4383900
2014-11-28,78.410004,78.599998,72.760002,73.019997,67.221718,5301900
2014-12-01,73.0,73.730003,71.07,71.860001,66.153824,7524300
2014-12-02,71.75,74.290001,71.75,73.760002,67.902962,5166700
2014-12-03,73.809998,75.260002,73.790001,74.830002,68.887993,3270600
2014-12-04,74.330002,75.239998,73.620003,74.970001,69.016869,3904000
2014-12-05,74.82,75.190002,72.919998,73.019997,67.221718,4252400
2014-12-08,72.230003,72.629997,68.709999,68.93,63.456493,6709000
2014-12-09,68.559998,69.129997,67.559998,68.809998,63.346016,5270200
2014-12-10,67.629997,68.349998,66.419998,67.110001,61.781013,5589700
2014-12-11,67.110001,68.120003,66.620003,66.82,61.514038,4743700
2014-12-12,66.300003,67.120003,65.309998,65.68,60.464561,4427800
2014-12-15,66.650002,67.419998,64.870003,65.089996,59.921413,9156000
2014-12-16,64.599998,68.629997,64.019997,67.040001,61.716568,6209400
2014-12-17,66.779999,69.150002,66.620003,68.360001,62.931755,4530100
2014-12-18,69.900002,70.300003,66.830002,69.029999,63.54855,5258500
2014-12-19,69.599998,71.889999,69.080002,71.809998,66.107803,6677000
2014-12-22,71.059998,71.650002,70.300003,71.230003,65.573853,3540100
2014-12-23,71.489998,72.730003,71.300003,72.559998,66.798256,3717500
2014-12-24,72.099998,72.589996,71.309998,72.099998,66.374763,2090100
2014-12-26,72.339996,73.339996,72.099998,72.650002,66.881111,1842900
2014-12-29,73.010002,73.370003,72.099998,72.82,67.037605,2980000
2014-12-30,72.800003,73.610001,72.190002,72.919998,67.129669,3144000
2014-12-31,72.699997,73.029999,71.660004,71.699997,66.006538,2655600
2015-01-02,71.610001,72.449997,70.949997,72.290001,66.54969,2545200
2015-01-05,71.239998,71.589996,67.139999,67.919998,62.526695,5886000
2015-01-06,67.660004,68.760002,66.019997,66.019997,60.777565,5793500
2015-01-07,66.769997,67.889999,65.900002,66.309998,61.044537,5556700
2015-01-08,67.099998,68.900002,66.599998,68.889999,63.41967,5432700
2015-01-09,68.309998,68.5,66.699997,67.309998,61.965134,4315300
2015-01-12,66.480003,66.519997,63.830002,64.239998,59.138908,5232300
2015-01-13,64.309998,64.790001,61.369999,61.5,56.616489,8886400
2015-01-14,60.639999,60.98,57.330002,59.419998,54.701653,11611100
2015-01-15,60.240002,60.5,58.68,59.09,54.397858,5531100
2015-01-16,59.0,61.080002,59.0,60.830002,55.999691,4978600
2015-01-20,61.790001,63.709999,61.09,63.619999,58.568138,7589500
2015-01-21,64.269997,66.620003,63.700001,66.25,60.989304,7109000
2015-01-22,66.839996,67.589996,65.970001,67.309998,61.965134,5501500
2015-01-23,67.470001,69.190002,66.970001,68.519997,63.079052,4607800
2015-01-26,68.639999,69.040001,67.610001,68.400002,62.968571,4149700
2015-01-27,67.699997,69.779999,67.519997,69.599998,64.073288,4407900
2015-01-28,69.800003,70.059998,68.32,68.370003,62.940971,6039300
2015-01-29,69.949997,70.690002,68.650002,70.480003,64.883423,5810100
2015-01-30,69.730003,71.269997,68.839996,70.32,64.736122,5793200
2015-02-02,71.309998,72.800003,70.07,72.800003,67.019188,4818900
2015-02-03,73.720001,74.940002,73.330002,74.879997,68.934029,6641800
2015-02-04,73.830002,75.129997,72.769997,74.419998,68.510544,5353000
2015-02-05,75.300003,75.889999,74.330002,75.209999,69.237816,3014400
2015-02-06,75.32,76.620003,75.099998,76.099998,70.057152,3517400
2015-02-09,76.269997,76.620003,75.690002,75.93,69.900658,2783100
2015-02-10,75.199997,75.860001,73.839996,75.669998,69.661301,3340600
2015-02-11,74.93,75.010002,73.339996,74.190002,68.29882,4125600
2015-02-12,74.730003,75.32,74.080002,75.110001,69.614922,2812700
2015-02-13,75.760002,76.650002,75.32,76.620003,71.014458,3479200
2015-02-17,76.379997,77.279999,75.870003,76.900002,71.273987,3523800
2015-02-18,76.010002,76.610001,75.480003,75.949997,70.393463,3945500
2015-02-19,75.470001,77.879997,74.940002,77.43,71.76519,4599000
2015-02-20,77.519997,78.169998,76.269997,77.339996,71.681786,4566600
