Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,26.379999,26.639999,25.99,26.01,25.315659,5940300
2014-10-23,26.540001,26.709999,26.280001,26.530001,25.821777,7557100
2014-10-24,26.49,26.75,26.32,26.690001,25.977503,4143600
2014-10-27,26.58,26.700001,26.209999,26.41,25.704977,5473800
2014-10-28,26.639999,27.09,26.610001,27.09,26.366825,5014200
2014-10-29,27.18,27.85,27.040001,27.629999,26.892406,9166100
2014-10-30,27.51,27.85,27.450001,27.75,27.009205,6637600
2014-10-31,28.25,28.77,28.209999,28.67,27.904646,7908500
2014-11-03,28.75,28.85,28.32,28.440001,27.680786,6858100
2014-11-04,28.299999,28.639999,28.219999,28.559999,27.797583,4765200
2014-11-05,28.709999,28.83,28.5,28.780001,28.070683,6307200
2014-11-06,28.67,29.07,28.51,29.040001,28.324274,6503400
2014-11-07,28.969999,29.030001,28.43,28.58,27.875608,7658900
2014-11-10,28.6,28.99,28.6,28.92,28.207232,5282400
2014-11-11,28.98,29.16,28.83,28.85,28.138956,4887500
2014-11-12,28.67,28.959999,28.67,28.780001,28.070683,6000800
2014-11-13,28.91,28.959999,28.610001,28.790001,28.080435,5846500
2014-11-14,28.83,29.110001,28.809999,28.870001,28.158464,4826800
2014-11-17,28.719999,28.83,28.440001,28.549999,27.84635,4310100
2014-11-18,28.549999,28.9,28.540001,28.76,28.05117,3837000
2014-11-19,28.74,28.74,28.27,28.52,27.817085,4625800
2014-11-20,28.25,28.48,28.049999,28.34,27.641523,7059300
2014-11-21,28.75,28.77,28.25,28.280001,27.583004,7484200
2014-11-24,28.370001,28.540001,28.200001,28.42,27.719557,5129000
2014-11-25,28.5,28.549999,28.32,28.370001,27.670786,4851500
2014-11-26,28.43,28.459999,28.24,28.299999,27.602512,3595300
2014-11-28,28.290001,28.440001,28.200001,28.32,27.622019,1839200
2014-12-01,28.08,28.08,27.23,27.66,26.978283,8977400
2014-12-02,27.860001,28.290001,27.76,28.280001,27.583004,4987900
2014-12-03,28.200001,29.120001,28.190001,29.030001,28.314518,8952200
2014-12-04,28.940001,29.139999,28.74,29.01,28.295015,4295600
2014-12-05,29.77,30.219999,29.620001,29.969999,29.231348,12591300
2014-12-08,29.940001,30.370001,29.709999,30.049999,29.309381,8087600
2014-12-09,29.49,30.33,29.360001,30.23,29.484943,8390800
2014-12-10,30.040001,30.26,29.459999,29.52,28.792444,7774700
2014-12-11,29.790001,30.200001,29.559999,29.68,28.948502,5774900
2014-12-12,29.209999,29.469999,28.73,28.75,28.041424,7079100
2014-12-15,28.879999,29.15,28.48,28.74,28.031668,6543300
2014-12-16,28.49,28.690001,28.1,28.120001,27.42695,7528900
2014-12-17,28.309999,29.280001,28.120001,29.190001,28.470579,14658600
2014-12-18,29.82,30.15,29.57,30.01,29.270365,8087100
2014-12-19,30.190001,30.23,29.860001,29.9,29.16308,12989200
2014-12-22,29.969999,30.139999,29.889999,30.059999,29.319134,3999500
2014-12-23,30.209999,30.77,30.16,30.66,29.904348,5372300
2014-12-24,30.83,30.85,30.530001,30.67,29.914099,2983300
2014-12-26,30.889999,30.889999,30.52,30.530001,29.777552,2027100
2014-12-29,30.389999,30.85,30.35,30.559999,29.806808,3756200
2014-12-30,30.42,30.49,30.299999,30.35,29.60199,3809100
2014-12-31,30.49,30.67,30.18,30.190001,29.445929,2915800
2015-01-02,30.41,30.57,29.809999,30.219999,29.475189,4537600
2015-01-05,29.969999,30.0,29.129999,29.209999,28.490084,5931400
2015-01-06,29.209999,29.280001,27.92,28.139999,27.446455,9825000
2015-01-07,28.459999,28.700001,28.219999,28.690001,27.982903,7966100
2015-01-08,29.190001,29.52,29.07,29.440001,28.71442,5590200
2015-01-09,29.440001,29.459999,28.42,28.450001,27.748819,6730300
2015-01-12,28.459999,28.57,27.92,28.17,27.475718,4961100
2015-01-13,28.549999,28.959999,27.9,28.190001,27.495226,5789000
2015-01-14,27.459999,27.459999,26.67,27.23,26.558884,15089600
2015-01-15,27.25,27.450001,25.5,26.67,26.012688,13304700
2015-01-16,26.82,26.940001,25.43,26.9,26.237017,15235700
2015-01-20,27.0,27.1,26.26,26.75,26.090714,8201300
2015-01-21,26.549999,26.969999,26.17,26.700001,26.041948,8217100
2015-01-22,27.190001,27.799999,26.190001,27.65,26.968531,11160400
2015-01-23,27.66,27.719999,27.17,27.190001,26.519869,5120900
2015-01-26,27.040001,27.42,26.879999,27.360001,26.685678,4435400
2015-01-27,26.889999,27.059999,26.5,26.809999,26.149233,5730400
2015-01-28,26.98,27.0,25.940001,25.959999,25.320185,8124900
2015-01-29,25.969999,26.41,25.83,26.32,25.67131,8446700
2015-01-30,25.93,26.42,25.799999,25.98,25.339691,9151100
2015-02-02,26.059999,26.620001,25.809999,26.6,25.944408,6327000
2015-02-03,26.75,27.65,26.74,27.620001,26.93927,10258100
2015-02-04,27.530001,27.9,27.530001,27.610001,26.92952,6594900
2015-02-05,27.75,28.23,27.700001,27.92,27.291185,5507300
2015-02-06,28.5,29.530001,28.4,29.110001,28.454386,11829300
2015-02-09,28.790001,29.1,28.690001,28.790001,28.141592,5567700
2015-02-10,29.09,29.41,28.889999,29.190001,28.532583,5198200
2015-02-11,29.059999,29.190001,28.870001,29.049999,28.395733,4627400
2015-02-12,29.24,30.030001,29.129999,29.959999,29.285236,10618500
2015-02-13,29.959999,30.190001,29.01,29.129999,28.47393,9595500
2015-02-17,29.219999,29.75,29.02,29.74,29.07019,7038300
2015-02-18,29.5,29.77,28.870001,29.09,28.434834,8732700
2015-02-19,29.09,29.459999,29.01,29.280001,28.620554,4848700
2015-02-20,29.16,29.700001,28.82,29.65,28.982224,4995500
2015-02-23,29.5,29.530001,29.15,29.51,28.845375,4635100
2015-02-24,29.57,30.200001,29.5,29.82,29.148396,7237100
2015-02-25,29.75,29.98,29.559999,29.719999,29.050642,4332400
2015-02-26,29.719999,30.030001,29.58,29.870001,29.197268,3669400
2015-02-27,29.709999,29.879999,29.32,29.34,28.679205,5146100
2015-03-02,29.34,30.23,29.309999,30.17,29.490509,6423300
2015-03-03,30.0,30.200001,29.700001,29.950001,29.275467,4927300
2015-03-04,29.74,30.059999,29.58,29.870001,29.197268,5173100
2015-03-05,29.82,30.25,29.58,30.209999,29.529606,6136100
2015-03-06,30.629999,31.73,30.559999,31.040001,30.340916,13199300
2015-03-09,31.0,31.17,30.719999,30.98,30.282265,8000600
2015-03-10,30.540001,30.950001,30.299999,30.309999,29.627357,6677600
2015-03-11,30.370001,31.0,30.33,30.68,29.989021,5609000
2015-03-12,30.77,31.129999,30.379999,31.049999,30.350687,6592500
2015-03-13,30.5,30.74,30.1,30.34,29.656677,9251800
2015-03-16,30.6,30.84,30.51,30.790001,30.096546,6866900
2015-03-17,30.68,31.129999,30.65,30.9,30.204065,7752800
2015-03-18,30.83,31.129999,29.6,29.77,29.09952,14733700
2015-03-19,29.73,29.870001,28.93,29.42,28.757401,12247200
2015-03-20,29.5,30.200001,29.440001,30.01,29.33411,10170800
2015-03-23,30.049999,30.25,29.9,29.91,29.236364,4924000
2015-03-24,29.809999,29.98,29.700001,29.790001,29.119068,5033900
2015-03-25,29.799999,29.799999,29.209999,29.209999,28.552135,5568500
2015-03-26,29.469999,30.07,29.030001,29.780001,29.109293,7821400
2015-03-27,29.809999,30.24,29.51,30.23,29.549156,7299600
2015-03-30,30.32,30.620001,30.290001,30.360001,29.676229,4145200
2015-03-31,30.120001,30.59,30.08,30.440001,29.754431,5342800
2015-04-01,30.360001,30.440001,29.709999,29.93,29.255917,8263400
2015-04-02,29.950001,30.09,29.66,30.01,29.33411,6892500
2015-04-06,29.549999,30.08,29.120001,29.969999,29.295015,6929800
2015-04-07,29.91,30.1,29.75,29.77,29.09952,3625300
2015-04-08,29.76,30.190001,29.68,30.17,29.490509,4818900
2015-04-09,30.139999,30.68,30.02,30.6,29.910826,4718600
2015-04-10,30.57,30.74,30.530001,30.700001,30.008575,6021500
2015-04-13,30.65,31.0,30.59,30.92,30.223619,5967000
2015-04-14,30.709999,30.74,30.129999,30.450001,29.764204,6881600
2015-04-15,30.139999,30.950001,29.9,30.530001,29.842403,9128700
2015-04-16,30.389999,30.629999,30.26,30.52,29.832628,4825600
2015-04-17,30.26,30.35,30.0,30.25,29.568708,6221300
2015-04-20,30.379999,30.5,30.08,30.120001,29.441635,5027600
2015-04-21,30.120001,30.34,29.809999,30.16,29.480738,7020600
2015-04-22,30.190001,30.65,29.98,30.459999,29.773975,6795800
2015-04-23,30.59,30.719999,30.280001,30.5,29.813078,6804400
2015-04-24,30.49,30.49,30.040001,30.120001,29.441635,5837700
2015-04-27,30.24,30.59,30.059999,30.09,29.412313,5787700
2015-04-28,30.120001,30.52,30.07,30.49,29.803305,5131300
2015-04-29,30.469999,31.129999,30.290001,30.809999,30.116096,6808400
2015-04-30,30.780001,31.1,30.41,30.5,29.813078,6820600
2015-05-01,30.67,30.93,30.620001,30.709999,30.018349,4239300
2015-05-04,30.75,31.549999,30.6,31.379999,30.673258,7957100
2015-05-05,31.25,31.85,31.190001,31.26,30.55596,7959800
2015-05-06,31.690001,31.690001,30.809999,31.02,30.379681,8116000
2015-05-07,30.99,31.33,30.82,31.17,30.526579,7309200
2015-05-08,31.309999,31.389999,31.01,31.280001,30.634308,5923000
2015-05-11,31.309999,32.18,31.23,32.040001,31.378622,11008100
2015-05-12,31.879999,32.02,31.530001,31.77,31.114195,7336800
2015-05-13,31.77,31.85,31.52,31.700001,31.045641,4858100
2015-05-14,31.959999,31.99,31.43,31.809999,31.15337,6407900
2015-05-15,31.74,31.879999,30.99,31.209999,30.565752,5259000
2015-05-18,31.24,31.91,31.219999,31.860001,31.202339,6779500
2015-05-19,32.119999,32.43,31.700001,31.74,31.084814,5494400
2015-05-20,31.73,31.93,31.459999,31.66,31.006468,5243300
2015-05-21,31.43,31.75,31.299999,31.48,30.830179,5961700
2015-05-22,31.459999,31.809999,31.41,31.41,30.761625,5657300
2015-05-26,31.360001,31.469999,31.200001,31.280001,30.634308,5143000
2015-05-27,31.459999,31.85,31.26,31.76,31.104403,4590700
2015-05-28,31.690001,31.959999,31.59,31.9,31.241512,4823200
2015-05-29,31.9,31.950001,31.18,31.65,30.996674,6614600
2015-06-01,31.73,31.83,31.190001,31.440001,30.791006,4921400
2015-06-02,31.35,31.85,31.1,31.629999,30.977081,4489100
2015-06-03,31.959999,32.450001,31.76,32.290001,31.623459,6740000
2015-06-04,32.009998,32.369999,31.9,32.259998,31.594078,7954700
2015-06-05,33.470001,33.59,32.880001,33.23,32.544052,13552500
2015-06-08,33.16,33.48,33.009998,33.02,32.33839,5878500
2015-06-09,32.990002,33.169998,32.779999,33.02,32.33839,5549200
2015-06-10,33.189999,33.57,33.080002,33.43,32.739929,7451100
2015-06-11,33.450001,33.720001,33.34,33.389999,32.700756,7436700
2015-06-12,33.34,33.529999,33.220001,33.360001,32.671379,5910000
2015-06-15,32.990002,33.209999,32.610001,33.049999,32.367771,5355900
2015-06-16,32.939999,33.349998,32.91,33.240002,32.553852,6033300
2015-06-17,33.369999,33.59,32.98,33.07,32.38736,7677700
2015-06-18,33.150002,33.27,32.59,33.07,32.38736,9954300
2015-06-19,32.849998,33.02,32.59,32.669998,31.995609,7645400
2015-06-22,32.98,33.48,32.98,33.369999,32.681164,5668000
2015-06-23,33.529999,33.779999,33.380001,33.48,32.788898,6172300
2015-06-24,33.349998,33.490002,32.970001,33.07,32.38736,4026400
2015-06-25,33.25,33.52,33.060001,33.25,32.563641,5647500
2015-06-26,33.419998,33.599998,33.119999,33.529999,32.837868,13570000
2015-06-29,33.060001,33.07,32.16,32.259998,31.594078,11173600
2015-06-30,32.650002,32.830002,32.23,32.650002,31.976034,8009300
2015-07-01,33.16,33.32,32.919998,33.119999,32.436325,7413900
2015-07-02,32.990002,32.990002,32.59,32.849998,32.171906,4716900
