Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,98.18,98.660004,95.93,95.989998,88.368828,8312300
2014-10-23,98.209999,99.400002,97.07,98.260002,90.458611,7767700
2014-10-24,98.199997,98.199997,96.279999,97.239998,89.519585,7489500
2014-10-27,95.309998,95.309998,92.449997,93.519997,86.094948,15256800
2014-10-28,94.230003,96.75,93.540001,96.510002,88.847549,8307400
2014-10-29,97.870003,98.660004,96.449997,97.410004,89.676094,7375200
2014-10-30,96.879997,97.910004,96.029999,97.620003,89.869423,5104000
2014-10-31,96.800003,98.800003,96.540001,98.660004,90.826851,8293900
2014-11-03,98.019997,99.18,96.160004,96.519997,88.856743,7732700
2014-11-04,95.519997,95.519997,93.440002,94.160004,86.684143,9568200
2014-11-05,94.580002,97.150002,94.150002,96.639999,88.967224,7443600
2014-11-06,95.5,97.080002,94.099998,96.980003,89.280251,9507500
2014-11-07,97.389999,99.93,97.269997,98.730003,90.891289,7826000
2014-11-10,99.449997,100.540001,98.18,98.290001,90.486221,7972900
2014-11-11,98.370003,98.489998,96.75,98.360001,90.550667,6111500
2014-11-12,97.75,99.690002,97.239998,97.43,89.694496,6679000
2014-11-13,96.610001,97.470001,92.720001,94.849998,87.319351,18116000
2014-11-14,96.260002,96.849998,94.419998,95.32,87.752037,11825000
2014-11-17,95.25,96.5,94.940002,95.629997,88.037407,8499600
2014-11-18,96.669998,96.669998,94.949997,95.279999,87.715202,5971400
2014-11-19,95.120003,95.75,93.93,95.0,87.457436,6553200
2014-11-20,95.0,96.25,94.660004,96.139999,88.506927,8198700
2014-11-21,98.080002,98.75,96.800003,97.870003,90.099579,9293500
2014-11-24,98.709999,99.209999,97.970001,98.449997,90.633499,10324700
2014-11-25,98.809998,99.019997,95.050003,95.199997,87.641548,10729600
2014-11-26,94.830002,94.910004,92.300003,92.809998,85.441315,9882600
2014-11-28,86.300003,86.68,83.25,85.949997,79.125961,18876100
2014-12-01,84.529999,85.82,82.660004,84.839996,78.469284,18083200
2014-12-02,85.059998,86.099998,83.830002,85.220001,78.82074,13740300
2014-12-03,85.769997,87.169998,85.099998,86.760002,80.24511,11464800
2014-12-04,86.080002,88.160004,85.400002,87.43,80.864792,9000100
2014-12-05,87.209999,88.160004,86.0,87.160004,80.615067,8983600
2014-12-08,86.040001,86.18,83.910004,84.209999,77.886581,11306800
2014-12-09,83.309998,85.529999,82.900002,85.470001,79.051979,10595600
2014-12-10,83.989998,84.059998,82.129997,83.169998,76.924683,11166500
2014-12-11,82.949997,85.199997,82.75,83.010002,76.776703,12332600
2014-12-12,82.050003,82.849998,79.730003,80.0,73.992714,17708800
2014-12-15,80.239998,81.830002,79.839996,79.900002,73.900223,11164500
2014-12-16,78.870003,83.410004,78.470001,80.190002,74.168457,16034600
2014-12-17,81.169998,84.43,80.25,82.879997,76.656456,13900600
2014-12-18,85.25,85.519997,82.07,84.230003,77.90509,13255300
2014-12-19,84.309998,87.720001,84.019997,87.519997,80.948029,15493800
2014-12-22,87.339996,87.800003,85.900002,86.75,80.235863,10563800
2014-12-23,87.099998,87.690002,86.260002,87.32,80.763062,8377900
2014-12-24,86.760002,87.639999,85.599998,87.059998,80.522575,3624100
2014-12-26,87.550003,88.029999,86.519997,87.129997,80.587311,4835500
2014-12-29,87.400002,88.089996,86.559998,87.349998,80.790794,5872800
2014-12-30,87.059998,87.199997,86.050003,86.440002,79.949135,6116200
2014-12-31,85.720001,86.43,84.800003,85.410004,78.996475,5346800
2015-01-02,84.809998,86.199997,84.620003,85.669998,79.236969,5500800
2015-01-05,84.400002,84.400002,82.589996,83.349998,77.091164,10039400
2015-01-06,82.940002,83.360001,80.660004,81.720001,75.583572,9758400
2015-01-07,82.550003,82.660004,80.529999,81.709999,75.574318,7951600
2015-01-08,82.489998,83.290001,81.940002,82.699997,76.489975,7911600
2015-01-09,83.279999,83.370003,80.580002,81.220001,75.121117,7649800
2015-01-12,79.129997,79.129997,76.730003,78.050003,72.189148,13257100
2015-01-13,78.0,79.0,77.029999,77.779999,71.93943,11931600
2015-01-14,75.989998,78.559998,75.599998,78.389999,72.503624,12226700
2015-01-15,78.739998,79.160004,76.43,76.629997,70.875778,10918900
2015-01-16,77.480003,81.519997,77.470001,81.330002,75.222855,17587500
2015-01-20,80.379997,80.940002,78.900002,80.480003,74.436684,10468900
2015-01-21,80.419998,82.639999,79.599998,82.209999,76.036758,9178800
2015-01-22,82.940002,83.120003,80.709999,82.139999,75.972031,9040000
2015-01-23,81.93,83.199997,81.599998,82.0,75.842537,7960800
2015-01-26,82.059998,84.099998,81.550003,83.68,77.396385,7060500
2015-01-27,82.720001,85.0,82.720001,84.550003,78.20105,7332800
2015-01-28,84.199997,84.239998,80.529999,80.75,74.686417,10041700
2015-01-29,81.160004,82.059998,79.519997,81.900002,75.750031,9037300
2015-01-30,81.339996,83.82,80.769997,82.389999,76.203247,9947200
2015-02-02,83.989998,84.75,82.5,84.639999,78.284317,9426800
2015-02-03,85.989998,88.080002,85.870003,87.080002,80.541084,15895200
2015-02-04,85.75,85.870003,83.639999,84.550003,78.20105,12071700
2015-02-05,85.639999,86.440002,84.910004,85.919998,79.468185,7749700
2015-02-06,86.82,87.419998,85.800003,86.160004,79.690155,8530800
2015-02-09,86.160004,86.870003,85.529999,85.82,79.839012,7614600
2015-02-10,85.779999,86.099998,84.029999,85.220001,79.280823,7217600
2015-02-11,83.900002,85.330002,83.5,84.730003,78.824974,6630800
2015-02-12,86.160004,87.400002,85.480003,85.959999,79.969261,6561100
2015-02-13,87.370003,88.529999,86.959999,88.379997,82.220596,7562900
2015-02-17,88.43,89.0,87.279999,88.889999,82.695045,7958300
2015-02-18,88.120003,88.330002,87.349998,87.739998,81.625198,7104100
2015-02-19,85.239998,87.580002,85.120003,86.980003,80.918159,6764800
2015-02-20,86.669998,87.239998,85.25,85.879997,79.894821,8123200
2015-02-23,84.790001,86.190002,84.389999,85.540001,79.578522,6033800
2015-02-24,86.589996,86.730003,84.529999,85.309998,79.36454,8427100
