Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,103.110001,103.110001,101.059998,101.18,94.060829,6181400
2014-10-23,102.870003,103.940002,102.459999,103.18,95.920113,5691500
2014-10-24,103.160004,103.870003,102.800003,103.82,96.51506,3657900
2014-10-27,103.790001,104.300003,103.489998,104.190002,96.859047,2957500
2014-10-28,104.959999,106.519997,104.860001,106.269997,98.792694,4173500
2014-10-29,106.720001,107.269997,105.419998,105.849998,98.402237,4060700
2014-10-30,105.209999,106.589996,104.699997,106.339996,98.85775,2890500
2014-10-31,107.830002,107.949997,106.980003,107.0,99.471321,4461100
2014-11-03,107.419998,107.5,106.029999,106.300003,98.820595,4587600
2014-11-04,107.0,107.290001,106.330002,106.879997,99.359749,3992400
2014-11-05,107.550003,108.440002,107.080002,107.93,100.335876,6698900
2014-11-06,107.900002,108.830002,107.779999,108.580002,100.94014,3581300
2014-11-07,108.489998,109.080002,107.949997,109.080002,101.404976,3253500
2014-11-10,109.050003,109.230003,108.669998,109.0,101.330605,3523700
2014-11-11,109.0,109.150002,108.029999,108.260002,100.642654,2949500
2014-11-12,107.669998,108.260002,107.360001,108.139999,101.082001,3182600
2014-11-13,108.32,108.970001,107.970001,108.139999,101.082001,4211700
2014-11-14,107.919998,108.419998,107.389999,107.449997,100.437019,2935500
2014-11-17,107.209999,107.730003,107.150002,107.370003,100.362244,2394500
2014-11-18,107.699997,109.089996,107.290001,108.800003,101.698914,2679300
2014-11-19,108.550003,108.82,108.209999,108.660004,101.568047,2271200
2014-11-20,108.0,108.860001,107.870003,108.82,101.717606,2195700
2014-11-21,110.169998,110.610001,109.970001,110.300003,103.101006,3572100
2014-11-24,108.959999,111.699997,108.410004,108.790001,101.689568,9706600
2014-11-25,110.089996,112.260002,109.699997,111.709999,104.418991,8103400
2014-11-26,111.790001,111.989998,109.839996,110.160004,102.970169,5268800
2014-11-28,110.639999,110.800003,109.919998,110.080002,102.895378,2121500
2014-12-01,109.059998,110.279999,108.699997,109.690002,102.530807,3458800
2014-12-02,109.830002,110.730003,109.489998,109.68,102.521484,2753700
2014-12-03,109.900002,111.419998,109.580002,110.989998,103.745995,3411400
2014-12-04,110.470001,111.220001,109.949997,111.209999,103.951614,4602600
2014-12-05,111.480003,111.650002,110.440002,111.290001,104.026398,3021700
2014-12-08,112.25,114.550003,111.519997,113.050003,105.671532,6350200
2014-12-09,112.230003,115.0,111.559998,114.989998,107.484901,5888700
2014-12-10,114.5,115.029999,113.349998,113.5,106.092148,7863500
2014-12-11,114.099998,114.860001,113.260002,114.040001,106.596909,5286100
2014-12-12,110.540001,113.660004,110.099998,112.150002,104.830269,5867300
2014-12-15,112.660004,113.449997,111.620003,111.910004,104.605927,4597400
2014-12-16,112.230003,114.699997,111.330002,113.230003,105.839775,5139300
2014-12-17,113.510002,114.339996,111.82,113.900002,106.466049,5023600
2014-12-18,115.150002,116.959999,114.5,116.959999,109.326332,4740000
2014-12-19,116.279999,117.190002,115.379997,115.589996,108.045731,7871600
2014-12-22,115.279999,117.199997,115.279999,117.139999,109.494576,3058100
2014-12-23,117.5,118.019997,116.919998,117.209999,109.560005,2715900
2014-12-24,117.660004,117.93,116.870003,116.910004,109.279602,1017900
2014-12-26,117.519997,117.800003,117.099998,117.239998,109.588051,1596700
2014-12-29,116.349998,117.339996,116.349998,116.860001,109.232857,2490700
2014-12-30,116.889999,116.889999,115.93,116.199997,108.615929,2178000
2014-12-31,116.599998,116.900002,114.959999,115.0,107.494263,2363500
2015-01-02,115.139999,115.639999,113.800003,115.040001,107.531639,3140100
2015-01-05,114.550003,115.459999,112.839996,113.120003,105.736954,4765300
2015-01-06,112.269997,113.040001,110.230003,111.519997,104.241379,5772300
2015-01-07,112.349998,113.339996,112.019997,112.730003,105.372406,3102200
2015-01-08,113.919998,115.0,113.300003,114.650002,107.167091,3899900
2015-01-09,114.93,115.129997,113.379997,114.019997,106.578209,3816100
2015-01-12,114.459999,114.75,113.019997,114.449997,106.980148,5016200
2015-01-13,115.529999,116.839996,113.5,114.339996,106.877319,4196400
2015-01-14,113.169998,114.169998,112.620003,113.519997,106.110847,3508800
2015-01-15,113.519997,114.690002,113.059998,113.519997,106.110847,3170600
2015-01-16,113.190002,116.339996,113.160004,116.150002,108.569183,5773200
2015-01-20,116.580002,117.730003,115.900002,117.529999,109.859131,5165600
2015-01-21,117.360001,119.300003,117.199997,119.029999,111.261238,7177600
2015-01-22,119.760002,120.68,118.760002,120.449997,112.588547,6562900
2015-01-23,120.370003,120.949997,119.93,119.980003,112.149231,4288600
2015-01-26,119.830002,119.919998,118.279999,118.75,110.999504,5693900
2015-01-27,116.5,120.360001,115.010002,119.160004,111.382744,7328100
2015-01-28,119.379997,119.379997,116.790001,116.919998,109.28894,4341100
2015-01-29,116.879997,117.029999,114.470001,116.449997,108.849625,6328600
2015-01-30,115.019997,116.230003,114.629997,114.779999,107.28862,4623100
2015-02-02,115.169998,116.699997,114.050003,116.580002,108.971138,3516900
2015-02-03,117.580002,119.519997,116.419998,118.889999,111.130363,4453600
2015-02-04,118.75,119.0,117.449997,117.790001,110.102165,3208400
2015-02-05,118.260002,120.360001,117.919998,120.110001,112.270752,4687300
2015-02-06,120.0,121.019997,119.379997,119.809998,111.990311,2795900
2015-02-09,119.440002,119.940002,118.910004,119.32,111.532295,2560700
2015-02-10,119.889999,120.220001,118.919998,119.400002,111.607086,2560000
2015-02-11,118.510002,119.059998,117.970001,118.690002,111.541306,2707600
2015-02-12,119.169998,119.959999,118.82,119.589996,112.387077,2897000
2015-02-13,119.339996,121.379997,119.339996,121.25,113.947105,3802100
2015-02-17,121.0,121.900002,120.57,121.32,114.012894,3241200
2015-02-18,121.32,122.660004,121.010002,121.989998,114.642532,3458100
2015-02-19,121.580002,123.0,121.580002,122.910004,115.507126,3407000
2015-02-20,122.989998,124.449997,122.0,124.110001,116.634842,4062200
2015-02-23,123.629997,124.160004,123.07,123.720001,116.268333,2737300
2015-02-24,123.419998,124.139999,122.989998,123.790001,116.334114,2444600
2015-02-25,123.849998,124.330002,122.949997,123.370003,115.93943,2872900
2015-02-26,123.32,123.550003,122.150002,122.669998,115.28157,2498200
2015-02-27,122.550003,122.849998,121.790001,121.910004,114.56736,3085300
2015-03-02,121.910004,123.5,121.550003,123.190002,115.770248,2325900
2015-03-03,121.980003,122.889999,121.110001,121.699997,114.370003,3187500
2015-03-04,121.25,121.389999,120.519997,121.040001,113.749756,2106700
2015-03-05,121.290001,121.489998,120.349998,120.790001,113.514816,1928300
2015-03-06,119.400002,120.360001,118.879997,119.43,112.236725,3663100
2015-03-09,119.290001,122.190002,119.290001,121.75,114.416985,4127100
2015-03-10,120.550003,120.980003,117.339996,117.400002,110.329002,5580300
2015-03-11,117.779999,118.910004,117.370003,118.339996,111.212372,3747900
2015-03-12,120.349998,121.470001,120.279999,121.239998,113.937706,4907800
2015-03-13,120.760002,121.599998,117.699997,118.739998,111.58828,7361500
2015-03-16,119.25,120.160004,119.029999,120.07,112.838173,4674700
2015-03-17,119.519997,120.129997,118.75,119.860001,112.640823,3822800
2015-03-18,119.279999,120.599998,117.25,120.309998,113.063728,5280200
2015-03-19,120.040001,120.309998,119.040001,119.379997,112.18972,2880800
2015-03-20,119.809998,120.400002,119.459999,119.459999,112.264923,8207000
2015-03-23,119.459999,119.690002,118.190002,118.68,111.531891,4482100
2015-03-24,119.040001,120.18,118.25,118.919998,111.757446,4033800
2015-03-25,119.199997,119.339996,116.389999,116.459999,109.44561,4456500
2015-03-26,115.959999,116.620003,115.019997,116.040001,109.050911,4389700
2015-03-27,116.139999,117.199997,116.050003,116.900002,109.859108,2786300
2015-03-30,117.68,119.230003,117.400002,118.830002,111.672867,3000800
2015-03-31,117.669998,118.150002,117.150002,117.199997,110.141037,3525400
2015-04-01,117.370003,117.480003,115.360001,115.919998,108.938126,3400400
2015-04-02,116.589996,117.68,115.989998,117.129997,110.075264,4227300
2015-04-06,115.93,118.709999,115.93,117.860001,110.761284,2857300
2015-04-07,117.760002,118.550003,117.449997,117.489998,110.413567,2269100
2015-04-08,117.709999,118.650002,117.059998,117.839996,110.742485,2484100
2015-04-09,117.699997,118.739998,117.18,117.879997,110.78009,2088400
2015-04-10,118.139999,118.940002,117.43,118.459999,111.325142,2254700
2015-04-13,117.970001,118.620003,117.239998,117.410004,110.338387,3030400
2015-04-14,117.050003,118.110001,116.580002,117.690002,110.60154,2602100
2015-04-15,118.080002,118.779999,117.519997,117.870003,110.770683,2774300
2015-04-16,117.349998,118.309998,116.919998,117.480003,110.404167,2905100
2015-04-17,116.309998,116.519997,114.860001,115.110001,108.176926,4318500
2015-04-20,116.019997,117.169998,115.889999,116.510002,109.492584,4000900
2015-04-21,118.730003,119.0,116.110001,116.949997,109.90609,4585000
2015-04-22,116.989998,117.43,115.730003,116.959999,109.915489,2792900
2015-04-23,116.419998,117.910004,116.029999,117.260002,110.197411,2632800
2015-04-24,117.440002,117.699997,116.059998,116.160004,109.163673,3523100
2015-04-27,116.660004,116.870003,115.699997,115.739998,108.768967,3920300
2015-04-28,115.199997,116.239998,114.949997,116.080002,109.088493,2746700
2015-04-29,115.580002,116.230003,115.169998,115.379997,108.430641,2893800
2015-04-30,114.93,115.629997,113.290001,113.75,106.898842,3899200
2015-05-01,114.589996,115.720001,114.510002,115.440002,108.487045,2781700
2015-05-04,115.779999,117.139999,115.699997,116.449997,109.436203,3925300
2015-05-05,116.010002,116.879997,114.709999,115.07,108.139328,3028200
2015-05-06,116.559998,116.559998,114.269997,115.080002,108.14872,3690300
2015-05-07,115.129997,116.559998,114.589996,116.040001,109.050911,3155700
2015-05-08,117.709999,118.849998,117.309998,118.43,111.296951,3707800
2015-05-11,117.440002,118.489998,117.440002,117.699997,110.610909,3023800
2015-05-12,117.050003,117.830002,116.019997,117.360001,110.291397,2804100
2015-05-13,116.970001,118.0,116.860001,117.370003,110.905609,3038700
2015-05-14,117.82,119.370003,117.82,119.139999,112.57811,2728800
2015-05-15,119.080002,119.389999,117.919998,118.489998,111.963913,2964700
2015-05-18,118.529999,119.120003,118.400002,118.510002,111.982819,2433600
2015-05-19,118.599998,119.449997,118.510002,119.07,112.511971,2808400
2015-05-20,119.660004,119.660004,118.599998,118.870003,112.322983,2431600
2015-05-21,118.809998,119.660004,118.699997,119.120003,112.559212,2121200
2015-05-22,119.0,119.660004,118.550003,118.620003,112.086754,2389600
2015-05-26,118.550003,118.620003,116.410004,116.870003,110.433136,3434600
2015-05-27,117.400002,117.879997,116.68,117.639999,111.160736,3365100
2015-05-28,117.269997,118.0,117.269997,117.690002,111.207977,2903600
2015-05-29,117.510002,117.610001,116.43,117.169998,110.716614,4933500
2015-06-01,117.230003,117.629997,116.459999,117.0,110.555977,2341600
2015-06-02,116.730003,118.050003,116.239998,117.339996,110.877243,3503300
2015-06-03,118.029999,119.120003,117.400002,118.510002,111.982819,3129900
2015-06-04,117.830002,118.419998,116.790001,117.139999,110.688255,3581600
2015-06-05,116.589996,117.379997,116.18,117.0,110.555977,2667400
2015-06-08,116.540001,117.360001,116.110001,116.18,109.781151,3209400
2015-06-09,116.510002,117.25,116.019997,116.300003,109.894516,2499500
2015-06-10,117.5,118.0,116.910004,117.5,111.028442,3145800
2015-06-11,117.989998,118.400002,117.43,118.32,111.803276,2707500
2015-06-12,117.459999,118.029999,117.019997,117.599998,111.122925,2345300
2015-06-15,115.209999,115.529999,114.400002,114.610001,108.297623,5972900
2015-06-16,114.510002,115.379997,114.32,114.940002,108.609428,4936200
2015-06-17,115.279999,115.480003,113.980003,115.07,108.732269,3799400
2015-06-18,114.290001,116.559998,114.290001,115.900002,109.516563,3753600
2015-06-19,115.599998,116.150002,114.889999,114.889999,108.562195,4210200
2015-06-22,115.400002,115.779999,114.959999,115.279999,108.93071,2971100
2015-06-23,115.169998,115.519997,114.919998,115.230003,108.883461,3632800
2015-06-24,114.699997,114.830002,113.82,113.970001,107.692856,4271200
2015-06-25,114.239998,114.650002,113.300003,113.300003,107.059761,3786200
2015-06-26,113.470001,113.989998,113.050003,113.519997,107.267647,3667700
2015-06-29,112.739998,113.029999,111.449997,111.529999,105.387245,4160400
2015-06-30,112.239998,112.480003,110.620003,110.93,104.820297,5909800
2015-07-01,112.029999,112.169998,110.139999,110.82,104.716347,4126800
2015-07-02,111.330002,111.589996,109.220001,109.559998,103.525742,5159500
2015-07-06,108.360001,109.809998,107.949997,109.360001,103.336769,4195100
2015-07-07,109.540001,110.220001,108.050003,110.089996,104.02655,4732100
2015-07-08,108.760002,109.720001,108.260002,108.669998,102.684769,3806300
2015-07-09,110.0,110.440002,108.919998,108.919998,102.921005,2555000
2015-07-10,110.379997,111.279999,109.510002,110.18,104.111595,4309600
2015-07-13,111.190002,111.980003,110.75,111.580002,105.434494,3892900
2015-07-14,111.5,111.639999,111.019997,111.510002,105.368355,2987500
2015-07-15,111.5,111.830002,110.809998,111.25,105.122673,2844500
2015-07-16,112.32,112.360001,111.040001,111.260002,105.132118,3063800
2015-07-17,111.260002,111.470001,110.599998,110.739998,104.64077,3465100
2015-07-20,110.970001,111.010002,109.510002,110.480003,104.395081,7487000
2015-07-21,104.349998,104.949997,101.779999,102.709999,97.053024,19540100
2015-07-22,102.260002,102.5,100.889999,101.550003,95.956917,9433700
2015-07-23,102.18,102.190002,100.739998,101.139999,95.569489,5925700
2015-07-24,101.0,101.190002,99.260002,99.309998,93.840279,6588000
2015-07-27,98.779999,99.540001,98.379997,98.870003,93.42453,7560400
2015-07-28,99.029999,99.279999,98.019997,98.970001,93.519012,5583000
2015-07-29,99.089996,99.580002,97.589996,99.360001,93.887543,11935800
2015-07-30,99.379997,101.290001,99.0,100.730003,95.182091,6739100
2015-07-31,100.919998,101.489998,100.25,100.309998,94.785217,7217200
2015-08-03,100.309998,100.309998,98.18,99.419998,93.944221,7123700
2015-08-04,100.029999,100.120003,98.910004,99.029999,93.575714,5557600
2015-08-05,99.970001,100.129997,98.730003,98.870003,93.42453,3895600
2015-08-06,98.989998,99.209999,98.360001,98.980003,93.528458,4198400
2015-08-07,98.720001,98.989998,98.0,98.290001,92.876465,2897100
2015-08-10,98.849998,99.790001,98.849998,99.550003,94.067078,6068400
2015-08-11,98.68,98.889999,98.0,98.610001,93.178856,7317900
2015-08-12,97.25,98.839996,96.650002,98.690002,93.86364,4618800
2015-08-13,98.540001,99.0,98.059998,98.379997,93.568794,4689900
2015-08-14,98.110001,98.879997,97.989998,98.699997,93.873138,4413300
2015-08-17,98.129997,99.43,97.610001,99.360001,94.50087,4228400
2015-08-18,98.959999,100.019997,98.959999,99.410004,94.548424,4730400
2015-08-19,98.699997,99.370003,97.870003,98.209999,93.407112,3619800
2015-08-20,97.5,98.150002,95.82,95.82,91.133995,6084000
2015-08-21,94.959999,95.220001,92.919998,93.010002,88.461411,7624400
2015-08-24,88.669998,93.190002,87.169998,90.870003,86.426056,10994900
2015-08-25,93.360001,93.75,88.690002,88.800003,84.457298,8283500
2015-08-26,90.690002,91.690002,88.809998,91.559998,87.082314,7380300
2015-08-27,92.519997,93.480003,91.550003,93.269997,88.708694,7473800
2015-08-28,92.849998,93.550003,92.669998,93.239998,88.680153,5230200
2015-08-31,91.209999,92.620003,90.540001,91.610001,87.129875,7004500
2015-09-01,89.489998,90.68,89.279999,89.720001,85.332314,6786600
2015-09-02,90.940002,91.260002,89.970001,91.239998,86.777985,5642000
2015-09-03,92.0,92.580002,91.639999,91.910004,87.415215,4534600
2015-09-04,90.82,91.150002,90.360001,90.68,86.245369,4562800
2015-09-08,92.150002,92.959999,91.949997,92.82,88.280701,4814800
2015-09-09,93.650002,93.839996,91.739998,91.849998,87.358139,4760700
2015-09-10,92.040001,92.089996,90.889999,91.400002,86.930153,6120700
2015-09-11,91.199997,92.339996,91.0,92.330002,87.814667,4490200
2015-09-14,92.300003,92.440002,91.389999,91.830002,87.339119,3279200
2015-09-15,92.620003,93.110001,92.080002,92.68,88.147552,4104000
2015-09-16,92.720001,94.110001,92.68,93.940002,89.34594,3504200
2015-09-17,93.889999,94.919998,93.139999,93.309998,88.746735,5205800
2015-09-18,92.410004,92.599998,90.529999,91.07,86.616295,10335600
2015-09-21,91.330002,92.169998,91.0,91.550003,87.072807,2981200
2015-09-22,88.980003,89.699997,87.660004,88.199997,83.886642,7911700
2015-09-23,88.150002,88.379997,85.900002,86.959999,82.707275,7324200
2015-09-24,85.75,86.989998,85.5,86.82,82.574127,7126800
2015-09-25,87.629997,88.169998,86.730003,87.300003,83.030655,7447600
2015-09-28,86.599998,87.470001,86.290001,86.830002,82.583649,5343700
2015-09-29,86.580002,88.080002,86.459999,87.980003,83.677406,4117600
2015-09-30,88.639999,89.57,88.080002,88.989998,84.637993,5051600
2015-10-01,88.900002,89.43,87.529999,88.360001,84.038818,3668600
2015-10-02,87.489998,89.889999,86.82,89.769997,85.37986,4624200
2015-10-05,90.440002,92.480003,90.220001,92.260002,87.748093,4912500
2015-10-06,92.150002,92.849998,92.010002,92.550003,88.023911,3386600
2015-10-07,94.0,94.160004,92.57,93.510002,88.936958,3516100
2015-10-08,92.860001,94.389999,92.839996,94.330002,89.716866,4051800
2015-10-09,94.669998,95.940002,94.510002,95.370003,90.705994,4099900
2015-10-12,94.940002,95.470001,94.610001,95.43,90.763069,3194900
2015-10-13,94.169998,94.75,93.639999,94.279999,89.669304,4079300
2015-10-14,94.269997,94.860001,91.760002,92.169998,87.662498,5608300
2015-10-15,92.709999,93.230003,92.150002,93.18,88.6231,3829800
2015-10-16,94.0,94.150002,92.629997,93.0,88.451904,3148400
2015-10-19,92.5,92.849998,91.209999,92.050003,87.548363,5513800
2015-10-20,94.330002,97.690002,93.080002,95.620003,90.943771,8885200
2015-10-21,96.239998,98.68,96.019997,97.970001,93.178856,10498900
2015-10-22,98.290001,100.230003,98.099998,99.790001,94.909843,5722400
2015-10-23,100.459999,100.900002,100.18,100.620003,95.699257,5032900
2015-10-26,100.620003,100.980003,100.0,100.230003,95.328323,2701000
2015-10-27,99.800003,99.970001,98.709999,98.879997,94.044342,3396500
2015-10-28,99.370003,99.519997,98.169998,99.32,94.46283,3829900
2015-10-29,99.239998,99.610001,98.239998,99.050003,94.206032,3287300
2015-10-30,99.029999,99.18,98.260002,98.410004,93.597336,4010900
2015-11-02,98.82,99.580002,98.349998,99.389999,94.529411,3067500
2015-11-03,99.379997,100.339996,98.800003,100.0,95.109573,3090000
2015-11-04,100.419998,101.040001,100.0,100.330002,95.423431,2847000
2015-11-05,100.43,100.989998,99.720001,100.800003,95.870445,2832400
2015-11-06,100.040001,100.800003,99.290001,100.800003,95.870445,2735100
2015-11-09,100.599998,100.839996,99.209999,99.660004,94.786201,3164700
2015-11-10,98.830002,99.419998,97.949997,98.68,94.460732,2738500
2015-11-11,99.040001,99.400002,98.07,98.260002,94.058693,2165900
2015-11-12,97.260002,99.730003,96.879997,99.220001,94.977646,8808200
2015-11-13,98.720001,99.639999,96.389999,96.480003,92.354813,6218900
2015-11-16,96.559998,97.860001,96.379997,97.830002,93.647087,5098700
2015-11-17,98.169998,98.300003,97.400002,97.550003,93.379044,4528800
2015-11-18,97.629997,97.860001,96.839996,97.709999,93.532204,4202000
2015-11-19,97.970001,98.889999,97.830002,98.300003,94.096985,4366600
2015-11-20,98.639999,99.550003,98.139999,98.220001,94.020409,4898200
2015-11-23,98.18,98.580002,97.889999,98.089996,93.89595,4177100
2015-11-24,97.57,97.879997,96.459999,97.360001,93.197174,5344100
2015-11-25,97.410004,98.050003,97.25,97.269997,93.111023,4336400
2015-11-27,97.010002,97.169998,96.540001,96.800003,92.661118,1919700
2015-11-30,97.059998,97.25,95.940002,96.050003,91.943184,5561000
2015-12-01,96.040001,97.449997,96.019997,96.699997,92.565384,4595500
2015-12-02,96.459999,96.830002,95.129997,95.25,91.177391,3892500
2015-12-03,95.300003,95.800003,94.400002,94.699997,90.650902,6082000
2015-12-04,94.989998,96.629997,94.790001,95.730003,91.636871,9228900
2015-12-07,95.620003,96.25,95.370003,95.910004,91.809174,4681200
2015-12-08,94.980003,95.32,93.900002,94.230003,90.201004,7011800
2015-12-09,93.580002,95.580002,93.209999,94.160004,90.133987,6911400
2015-12-10,94.07,94.669998,91.629997,93.870003,89.8564,5750000
2015-12-11,93.010002,94.629997,92.93,93.300003,89.31076,9942600
2015-12-14,93.300003,93.57,92.199997,93.029999,89.052307,6711400
2015-12-15,93.68,94.660004,93.230003,93.260002,89.272469,6618000
2015-12-16,93.970001,95.43,93.440002,95.129997,91.062515,9868300
2015-12-17,95.129997,95.730003,93.839996,93.870003,89.8564,4802300
2015-12-18,93.309998,94.330002,92.339996,92.339996,88.3918,8665800
2015-12-21,93.019997,93.889999,92.690002,93.610001,89.607513,8708800
2015-12-22,94.309998,95.410004,94.0,94.870003,90.813637,4609100
2015-12-23,95.5,96.599998,95.43,96.300003,92.182495,4677200
2015-12-24,95.889999,96.519997,95.870003,96.300003,92.182495,1382700
2015-12-28,95.980003,96.309998,95.699997,96.089996,91.981476,3606800
2015-12-29,96.669998,97.769997,96.349998,97.269997,93.111023,3291400
2015-12-30,96.919998,97.5,96.519997,96.900002,92.756844,3161600
2015-12-31,96.410004,96.68,95.709999,96.07,91.962326,2951000
2016-01-04,94.449997,95.639999,93.959999,95.57,91.483711,5382200
2016-01-05,95.139999,96.0,94.800003,95.720001,91.627289,4253100
2016-01-06,93.900002,94.639999,92.540001,93.120003,89.138458,8300600
2016-01-07,91.470001,93.349998,91.43,91.900002,87.970619,6984800
2016-01-08,91.57,91.879997,90.220001,90.400002,86.534767,7501300
2016-01-11,91.089996,91.400002,89.919998,90.5,86.630478,7185200
